name,description,type,sub_type,attribute,attack,defense,price,volatility,index,index_market,join_id,set_id,set_name,set_release,rarity,rank,name_official,price_missing
Divine Grace - Northwemko,"This card can only be Ritual Summoned with the Ritual Spell Card, ""Ritual of Grace"". When this card is Ritual Summoned, select a number of face-up cards on the field (except this card), up to the number of monsters you used for the Ritual Summon. While any of the selected cards are face-up on the field, this card cannot be destroyed by card effects.",MONSTER,[Spellcaster／Ritual／Effect],LIGHT,2700,1200,18.54,,8474,33676,SOVR-EN039UR,SOVR-EN039,STARDUST OVERDRIVE,2009-11-17,UL Ultimate Rare,7,Divine Grace - Northwemko,False
Divine Knight Ishzark,"After damage calculation, when this card destroys a monster by battle: Banish that monster.",MONSTER,[Warrior／Effect],LIGHT,2300,1800,0.7633,,6374,71590,LCJW-EN046C,LODT-EN091,LIGHT OF DESTRUCTION,2008-05-13,SR Super Rare,6,Divine Knight Ishzark,False
Divine Scorpion Beast of Serket,"1 ""Serket"" monster + 1 monster with 2500 or less ATKIf this card is Special Summoned, or at the start of the Damage Step if this card battles an opponent's monster: You can target 1 face-up monster your opponent controls or in their GY; banish it, and if you do, this card gains ATK equal to half the banished monster's original ATK. You can only use this effect of ""Divine Scorpion Beast of Serket"" once per turn. Can make a second attack during each Battle Phase, while a Level 10 or higher monster is banished.",MONSTER,[Fairy／Fusion／Effect],EARTH,3000,2000,0.24,,21039,622003,MZTM-EN005SR,MZTM-EN005,MAZE OF THE MASTER,2025-03-14,SR Super Rare,6,Divine Scorpion Beast of Serket,False
Divine Serpent Apophis,"2 monsters that mention ""Temple of the Kings""Must be either Fusion Summoned, or Special Summoned by Tributing 2 ""Apophis"" monsters. Once per turn: You can target up to 3 ""Apophis"" Traps with different names in your GY; Set them. Once per turn, if a Trap Card is activated (except during the Damage Step): You can target 1 card your opponent controls; destroy it.",MONSTER,[Reptile／Fusion／Effect],EARTH,2800,2600,0.32,,21038,622002,MZTM-EN004SR,MZTM-EN004,MAZE OF THE MASTER,2025-03-14,SR Super Rare,6,Divine Serpent Apophis,False
Diviner of the Herald,"If this card is Normal or Special Summoned: You can send 1 Fairy monster from your Deck or Extra Deck to the GY, and if you do, increase this card's Level by that monster's Level, until the end of this turn. If this card is Tributed: You can Special Summon 1 Level 2 or lower Fairy monster from your hand or Deck, except ""Diviner of the Herald"". You can only use each effect of ""Diviner of the Herald"" once per turn.",MONSTER,[Fairy／Tuner／Effect],LIGHT,500,300,22.248,,15083,554927,BLTR-EN072UR,BLTR-EN072,BATTLES OF LEGEND: TERMINAL REVENGE,2024-06-21,PSE Prismatic Secret Rare,2,Diviner of the Herald,False
Division,"You can Tribute all face-up ""Division(s)"" you control: Special Summon up to twice that many ""Machine Tokens"" (Machine/FIRE/Level 1/ATK 200/DEF 200), and each time 1 is destroyed, your opponent takes 500 damage. If this card is banished: You can target any number of Tokens you control; destroy them. You can only use each effect of ""Division"" once per turn.",MONSTER,[Machine／Effect],FIRE,200,200,0.06,,9471,554878,BLTR-EN025UR,BLTR-EN025,BATTLES OF LEGEND: TERMINAL REVENGE,2024-06-21,UR Ultra Rare,2,Division,False
Djinn Cursenchanter of Rituals,"When you Ritual Summon a monster, you can banish this card from your Graveyard as 1 of the monsters required for the Ritual Summon. While the monster Ritual Summoned using this card is face-up on the field, Synchro Monsters' effects are negated.",MONSTER,[Fiend／Effect],DARK,1700,1000,0.22,,8648,96107,THSF-EN038SR,ABPF-EN037,ABSOLUTE POWERFORCE,2010-02-16,R Rare,4,Djinn Cursenchanter of Rituals,False
Djinn Demolisher of Rituals,"When you Ritual Summon a monster, you can banish this card from your Graveyard as 1 of the monsters required for the Ritual Summon. If a player Ritual Summons using this card, that Ritual Summoned monster cannot be targeted by the card effects of the other player.",MONSTER,[Fiend／Effect],DARK,1500,600,0.2267,,11246,105228,MP15-EN090C,AP07-EN006,2015 MEGA-TINS MEGA PACK,2014-08-15,C Common,3,Djinn Demolisher of Rituals,False
Djinn Disserere of Rituals,"When you Ritual Summon a monster, you can banish this card from your GY as 1 of the monsters required for the Ritual Summon. The monster Ritual Summoned using this card is unaffected by Trap effects.",MONSTER,[Fiend／Effect],DARK,200,200,0.872,,8759,287205,STP4-EN009SR,ABPF-EN087,ABSOLUTE POWERFORCE,2010-02-16,C Common,1,Djinn Disserere of Rituals,False
Djinn Presider of Rituals,"When you Ritual Summon a monster, you can banish this card from your Graveyard as 1 of the monsters required for the Ritual Summon. If the monster Ritual Summoned using this card destroys a monster by battle, the controller of the Ritual Monster draws 1 card.",MONSTER,[Fiend／Effect],DARK,1800,1400,0.22,,8473,96106,THSF-EN037SR,SOVR-EN038,STARDUST OVERDRIVE,2009-11-17,R Rare,4,Djinn Presider of Rituals,False
Djinn Prognosticator of Rituals,"When you Ritual Summon a monster, you can banish this card from your GY as 1 of the monsters required for the Ritual Summon. If you Ritual Summon using this card, if that Ritual Summoned monster inflicts battle damage to your opponent, they discard 1 card.",MONSTER,[Fiend／Effect],DARK,400,300,0.2367,,8649,214042,SS04-ENB15C,ABPF-EN038,ABSOLUTE POWERFORCE,2010-02-16,C Common,3,Djinn Prognosticator of Rituals,False
Djinn Releaser of Rituals,"When you Ritual Summon a monster, you can banish this card from your Graveyard as 1 of the monsters required for the Ritual Summon. If a player Ritual Summons using this card, the other player cannot Special Summon while that Ritual Summoned monster is face-up on the field.",MONSTER,[Fiend／Effect],DARK,1200,2000,0.39,,8472,96105,THSF-EN036SR,SOVR-EN037,STARDUST OVERDRIVE,2009-11-17,R Rare,3,Djinn Releaser of Rituals,False
DoSolfachord Coolia,"You can Special Summon this card (from your hand) by Tributing 2 Pendulum Monsters. You can only use each of the following effects of ""DoSolfachord Coolia"" once per turn. You can target 1 face-up card your opponent controls, or up to 2 cards if you have an odd Pendulum Scale in your Pendulum Zone; negate its effects until the end of your opponent's turn. When an effect of a monster on the field is activated, with an equal or lower ATK than the highest Pendulum Scale in your Pendulum Zone x 300: You can destroy that monster.",MONSTER,[Fairy／Pendulum／Effect],WIND,2700,2500,13.295,,16091,238025,ANGU-EN021UR,ANGU-EN021,ANCIENT　GUARDIANS,2021-05-07,CR COLLECTOR'S RARE,8,DoSolfachord Coolia,False
DoSolfachord Cutia,"While you have an even Pendulum Scale in your Pendulum Zone, ""Solfachord"" Pendulum Monsters you control gain ATK equal to 100 x their own Pendulum Scale. If this card is Normal or Special Summoned: You can add 1 ""Solfachord"" Pendulum Monster from your Deck to your hand, except ""DoSolfachord Cutia"". You can only use this effect of ""DoSolfachord Cutia"" once per turn.",MONSTER,[Fairy／Pendulum／Effect],EARTH,100,400,0.33,,16084,238015,ANGU-EN014SR,ANGU-EN014,ANCIENT　GUARDIANS,2021-05-07,SR Super Rare,1,DoSolfachord Cutia,False
Doctor Cranium,"When this card is destroyed by battle and sent to the Graveyard, you can pay 800 Life Points to add 1 Psychic-Type monster from your Deck to your hand.",MONSTER,[Psychic／Effect],EARTH,100,100,0.33,,7715,27515,TDGS-EN017C,TDGS-EN017,THE DUELIST GENESIS,2008-09-02,C Common,1,Doctor Cranium,False
Dodger Dragon,"This card's Normal Summon cannot be negated. After this card was Normal Summoned, your opponent cannot activate Counter Trap Cards for the rest of that turn.",MONSTER,[Dragon／Effect],WIND,1900,1200,0.35,,9700,91829,BP03-EN085R,BP03-EN085,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,R Rare,4,Dodger Dragon,False
Dododo Bot,"Cannot be Normal Summoned (but can be Normal Set). If this card attacks, it is unaffected by other card effects until the end of the Damage Step.",MONSTER,[Machine／Effect],EARTH,1800,1900,0.08,,10360,69355,BP02-EN118C,BP02-EN118,BATTLE PACK 2 WAR OF THE GIANTS,2013-06-28,C Common,4,Dododo Bot,False
Dododo Buster,"If only your opponent controls a monster, you can Special Summon this card (from your hand). If Summoned this way, its Level becomes 4. When this card is Tribute Summoned: You can target 1 ""Dododo"" monster in your GY; Special Summon that target in Defense Position.",MONSTER,[Warrior／Effect],EARTH,1900,800,0.1467,,10478,207027,LED6-EN042C,LED6-EN042,2014 MEGA-TINS MEGA PACK,2014-01-24,C Common,6,Dododo Buster,False
Dododo Driver,"Up to twice per turn, if this card was Special Summoned by the effect of a ""Dododo"" monster this turn: You can target 1 ""Dododo"" monster you control, then activate 1 of these effects;●Increase its Level by 1.●Reduce its Level by 1.",MONSTER,[Warrior／Effect],EARTH,1800,200,0.19,,10980,94615,NECH-EN093C,NECH-EN093,THE NEW CHALLENGERS,2014-11-07,C Common,4,Dododo Driver,False
Dododo Swordsman,"While this Flip Summoned card is face-up on the field, it gains 3500 ATK. When this card is flipped face-up: You can target up to 2 face-up monsters on the field; destroy them.",MONSTER,[Warrior／Effect],EARTH,0,3000,0.21,,10832,95470,SECE-EN092C,SECE-EN092,SECRETS OF ETERNITY,2015-01-16,C Common,8,Dododo Swordsman,False
Dododo Warrior,"You can Normal Summon this card without Tributing, but its original ATK becomes 1800. If this card attacks, negate all card effects that activate in the opponent's Graveyard, until the end of the Damage Step.",MONSTER,[Warrior／Effect],EARTH,2300,900,0.36,,9852,79860,SP14-EN018C,SP14-EN018,STAR PACK 2014,2014-02-21,SR Super Rare,6,Dododo Warrior,False
Dododo Witch,"When this card is Normal or Special Summoned: You can Special Summon 1 ""Dododo"" monster from your hand in Attack Position or face-down Defense Position, except ""Dododo Witch"".",MONSTER,[Warrior／Effect],EARTH,1200,1600,0.2,,10831,95471,SECE-EN091C,SECE-EN091,SECRETS OF ETERNITY,2015-01-16,C Common,4,Dododo Witch,False
Dodododo Warrior,"You can send 1 ""Dododo"" monster from your Deck to the GY; Special Summon this card from your hand (its Level becomes 4, also its ATK becomes 1800), also you cannot Special Summon from the Extra Deck for the rest of this turn, except Xyz Monsters. If this card is detached from an Xyz Monster to activate that monster's effect: You can add 1 ""Zubaba"" monster from your Deck to your hand. You can only use each effect of ""Dodododo Warrior"" once per turn.",MONSTER,[Warrior／Effect],EARTH,2300,900,11.67,,21415,639341,DUAD-EN004UR,DUAD-EN004,DUELIST'S ADVANCE,2025-07-04,STAR Starlight Rare,6,Dodododo Warrior,False
Dodododwarf Gogogoglove,"During your Main Phase: You can Special Summon 1 ""Zubaba"" or ""Gagaga"" monster from your hand. If you control a ""Gogogo"" or ""Dododo"" monster except ""Dodododwarf Gogogoglove"", while this card is in your GY: You can Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Dodododwarf Gogogoglove"" once per turn.",MONSTER,[Rock／Effect],EARTH,0,1800,0.31,,14922,276153,LDS3-EN126C,LDS3-EN126,LEGENDARY DUELISTS: MAGICAL HERO,2020-01-17,C Common,4,Dodododwarf Gogogoglove,False
Doggy Diver,"If your opponent controls a monster and all face-up monsters you control (min. 1) are Level 4, you can Special Summon this card (from your hand). You can only Special Summon ""Doggy Diver"" once per turn this way. This card cannot be used as an Xyz Material for an Xyz Summon, except for the Xyz Summon of a Warrior-Type monster.",MONSTER,[Warrior／Effect],DARK,1000,1000,0.14,,10836,95472,SECE-EN096R,SECE-EN096,SECRETS OF ETERNITY,2015-01-16,R Rare,4,Doggy Diver,False
"Dogmatika Adin, the Enlightened","Cannot be destroyed by battle with a monster Special Summoned from the Extra Deck. You can only use each of the following effects of ""Dogmatika Adin, the Enlightened"" once per turn. If a monster Special Summoned from the Extra Deck is on the field: You can Special Summon this card from your hand. If this card on the field is destroyed by battle or card effect: You can Special Summon 1 ""Dogmatika"" monster from your Deck, except ""Dogmatika Adin, the Enlightened"".",MONSTER,[Spellcaster／Effect],LIGHT,1000,1800,0.195,,15241,249143,MP21-EN103UR,MP21-EN103,2021 TIN OF ANCIENT BATTLES,2020-08-07,SR Super Rare,4,"Dogmatika Adin, the Enlightened",False
Dogmatika Alba Zoa,"Cannot be Ritual Summoned, except by ""Dogmatikalamity"" or another ""Dogmatika"" card effect. ""Dogmatika"" monsters you control are unaffected by the activated effects of your opponent's Fusion, Synchro, Xyz, and Link Monsters. During your Main Phase: You can make your opponent choose and apply 1 of these effects ('you' in these effects means that opponent).●For every 2 cards in your Extra Deck, send 1 card from your hand or Extra Deck to the GY.●Return all Fusion, Synchro, Xyz, and Link Monsters you control to the Extra Deck.You can only use this effect of ""Dogmatika Alba Zoa"" once per turn.",MONSTER,[Spellcaster／Ritual／Effect],LIGHT,4000,4000,0.65,,18176,480278,PHHY-EN031SR,PHHY-EN031,PHOTON HYPERNOVA,2023-02-10,SR Super Rare,12,Dogmatika Alba Zoa,False
Dogmatika Ashiyan,"If a Fusion, Synchro, Xyz, or Link Monster(s) is sent to the GY (except during the Damage Step): You can Special Summon this card from your hand. If this card is Special Summoned from the hand: You can target 1 ""Dogmatika"" card in your GY, except ""Dogmatika Ashiyan""; add it to your hand. When an opponent's monster declares an attack: You can make all ""Dogmatika"" monsters you currently control gain 500 ATK. You can only use each effect of ""Dogmatika Ashiyan"" once per turn.",MONSTER,[Spellcaster／Effect],LIGHT,2000,1500,0.195,,15488,249018,MP21-EN172PSE,MP21-EN172,2021 TIN OF ANCIENT BATTLES,2020-11-06,PSE Prismatic Secret Rare,8,Dogmatika Ashiyan,False
"Dogmatika Ecclesia, the Virtuous","Cannot be destroyed by battle with a monster Special Summoned from the Extra Deck. You can only use each of the following effects of ""Dogmatika Ecclesia, the Virtuous"" once per turn. If a monster Special Summoned from the Extra Deck is on the field: You can Special Summon this card from your hand. If this card is Normal or Special Summoned: You can activate this effect; add 1 ""Dogmatika"" card from your Deck to your hand, except ""Dogmatika Ecclesia, the Virtuous"", also you cannot Special Summon monsters from the Extra Deck for the rest of this turn.",MONSTER,[Spellcaster／Effect],LIGHT,1500,1500,19.2078,,15239,524489,RA01-EN020SR,RA01-EN020,25TH ANNIVERSARY RARITY COLLECTION,2023-11-03,UR Ultra Rare,4,"Dogmatika Ecclesia, the Virtuous",False
"Dogmatika Fleurdelis, the Knighted","During the Main Phase, if a monster Special Summoned from the Extra Deck is on the field (Quick Effect): You can Special Summon this card from your hand, then, if you control another ""Dogmatika"" monster, you can negate the effects of 1 face-up monster on the field, until the end of this turn. When your ""Dogmatika"" monster declares an attack: You can make all ""Dogmatika"" monsters you currently control gain 500 ATK. You can only use each effect of ""Dogmatika Fleurdelis, the Knighted"" once per turn.",MONSTER,[Spellcaster／Effect],LIGHT,2500,2500,4.51,,15242,267998,SDAZ-EN006C,MP21-EN104,2021 TIN OF ANCIENT BATTLES,2020-08-07,C Common,8,"Dogmatika Fleurdelis, the Knighted",False
Dogmatika Maximus,"You can banish 1 Fusion, Synchro, Xyz, or Link Monster from your GY; Special Summon this card from your hand. During your Main Phase: You can activate this effect; send 2 monsters with different names from your Extra Deck to the GY, also your opponent sends 2 monsters from their Extra Deck to the GY, also you cannot Special Summon from the Extra Deck for the rest of this turn. You can only use each effect of ""Dogmatika Maximus"" once per turn.",MONSTER,[Spellcaster／Effect],LIGHT,1500,3000,3.5967,,15243,636022,BLMM-EN129UR,BLMM-EN129,2021 TIN OF ANCIENT BATTLES,2020-08-07,UR Ultra Rare,8,Dogmatika Maximus,False
Dogmatika Nexus,"Cannot be Normal Summoned/Set. Must be Special Summoned by its own effect. You can target 4 Fusion, Synchro, Xyz, and/or Link Monsters in the GYs; Special Summon this card from your hand, and if you do, banish them. At the start of the Damage Step, if this card battles a Special Summoned monster: Destroy all your opponent's Attack Position monsters, then inflict 800 damage to your opponent for each Fusion, Synchro, Xyz, and Link Monster destroyed by this effect.",MONSTER,[Spellcaster／Effect],LIGHT,3200,3200,0.18,,15244,249147,MP21-EN106UR,MP21-EN106,2021 TIN OF ANCIENT BATTLES,2021-10-01,UR Ultra Rare,11,Dogmatika Nexus,False
"Dogmatika Theo, the Iron Punch","Cannot be destroyed by battle with a monster Special Summoned from the Extra Deck. You can only use each of the following effects of ""Dogmatika Theo, the Iron Punch"" once per turn. If a monster Special Summoned from the Extra Deck is on the field: You can Special Summon this card from your hand. You can target 1 face-up monster on the field that was Special Summoned from the Extra Deck; until the end of this turn, this card gains 600 ATK, and if it does, the targeted monster loses 600 ATK.",MONSTER,[Spellcaster／Effect],LIGHT,1800,1500,0.115,,15240,249142,MP21-EN102UR,MP21-EN102,2021 TIN OF ANCIENT BATTLES,2020-08-07,C Common,4,"Dogmatika Theo, the Iron Punch",False
"Dogoran, the Mad Flame Kaiju","You can Special Summon this card (from your hand) to your opponent's field in Attack Position, by Tributing 1 monster they control. If your opponent controls a ""Kaiju"" monster, you can Special Summon this card (from your hand) in Attack Position. You can only control 1 ""Kaiju"" monster. Once per turn: You can remove 3 Kaiju Counters from anywhere on the field; destroy all monsters your opponent controls. This card cannot attack the turn this effect is activated.",MONSTER,[Dinosaur／Effect],FIRE,3000,1200,0.865,,12038,538505,BLC1-EN033UR,BLC1-EN033,BATTLES OF LEGEND - CHAPTER 1,2022-10-10,C Common,8,"Dogoran, the Mad Flame Kaiju",False
Dogu,"During the End Phase, if this card is in the Graveyard because it was sent there by an opponent's card effect this turn while in your possession: You can add, from your Deck to your hand, 1 monster with a different Level from the monsters you control and the monsters in your Graveyard. You can only use this effect of ""Dogu"" once per turn.",MONSTER,[Rock／Effect],EARTH,1900,0,0.25,,11251,92366,DUEA-EN042R,DUEA-EN042,DUELIST ALLIANCE,2014-08-15,R Rare,4,Dogu,False
Doitsu,"Once per turn, you can equip this card to a ""Soitsu"" you control, OR unequip it to Special Summon this card in face-up Attack Position. When equipped to a monster by this card's effect, that monster gains 2500 ATK. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed by battle, destroy this card instead.)",MONSTER,[Fairy／Union／Effect],EARTH,100,200,0.505,,6423,80636,DR04-EN025C,CRV-EN025,CYBERNETIC REVOLUTION,2005-08-06,C Common,4,Doitsu,False
Doki Doki,"You can discard 1 Rock monster; Special Summon from your Deck, 1 Rock monster that has the same original Attribute and Level as that monster, in face-up Attack Position or face-down Defense Position. You can only use this effect of ""Doki Doki"" once per turn.",MONSTER,[Rock／Effect],EARTH,500,500,0.2833,,12622,211643,SESL-EN037SR,INOV-EN032,2017 MEGA-TINS MEGA PACK,2016-11-04,C Common,2,Doki Doki,False
Dokurorider,"You can Ritual Summon this card with ""Revival of Dokurorider"".",MONSTER,[Zombie／Ritual],DARK,1900,1850,0.3,,4725,228118,SBCB-EN184C,SBCB-EN184,Speed Duel: Battle City Box,2002-10-01,C Common,6,Dokurorider,False
Dokuroyaiba,A boomerang with brains that will pursue a target to the ends of the earth.,MONSTER,[Fiend／Normal],FIRE,1000,400,0.3675,,5150,476367,PSV-EN099C,PSV-EN099,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2023-04-21,C Common,3,Dokuroyaiba,False
Doll Monster Bear-Bear,"Even if we get damaged, it's okay.Grandpa Demetto can patch us up!",MONSTER,[Beast／Normal],WIND,0,0,0.145,,15889,514732,MP23-EN052SR,BACH-EN094,25TH ANNIVERSARY TIN: DUELING HEROES MEGA PACK,2022-02-11,C Common,4,Doll Monster Bear-Bear,False
Doll Monster Miss Mädchen,"Welcome to our house!Here I live with Cologne, Grandpa Demetto, and all the other dolls!",MONSTER,[Fairy／Normal],LIGHT,0,0,0.12,,15888,514731,MP23-EN051SR,BACH-EN093,25TH ANNIVERSARY TIN: DUELING HEROES MEGA PACK,2022-02-11,C Common,4,Doll Monster Miss Mädchen,False
Doma The Angel of Silence,This fairy rules over the end of existence.,MONSTER,[Fairy／Normal],DARK,1600,1400,0.18,,4117,486254,MRD-EN015C,MRD-EN015,METAL RAIDERS (LC01 25th Anniversary Edition),2023-04-21,C Common,5,Doma The Angel of Silence,False
Don Turtle,"When this card is Normal Summoned or Flip Summoned, you can Special Summon any number of ""Don Turtle""(s) from your hand.",MONSTER,[Reptile／Effect],WATER,1100,1200,0.1475,,5885,487212,IOC-EN071C,IOC-EN071,INVASION OF CHAOS,2004-03-01,C Common,3,Don Turtle,False
Don Zaloog,When this card inflicts battle damage to your opponent: You can activate 1 of these effects;●Discard 1 random card from their hand.●Send the top 2 cards of their Deck to the GY.,MONSTER,[Warrior／Effect],DARK,1400,1500,2.5045,,5426,271486,LART-EN044UR,LART-EN044,RETRO PACK 2,2009-07-28,UR Ultra Rare,4,Don Zaloog,False
"Donpa, Marksman Fur Hire","During your Main Phase: You can Special Summon 1 monster ""Fur Hire"" from your hand, except ""Donpa, Marksman Fur Hire"". If a monster ""Fur Hire"" is Special Summoned to your field while you control this monster (except during the Damage Step): You can target 1 face-up card on the field; destroy it. You can only use each effect of ""Donpa, Marksman Fur Hire"" once per turn.",MONSTER,[Beast／Effect],WIND,500,1000,0.64,,13655,197536,MP19-EN244C,DASA-EN014,2019 GOLD SARCOPHAGUS TIN MEGA PACK,2018-05-25,C Common,2,"Donpa, Marksman Fur Hire",False
Donyoribo @Ignister,"During damage calculation, if your ""@Ignister"" monster is attacked (Quick Effect): You can discard this card; you take no battle damage from that battle. When an ""@Ignister"" monster effect, or ""A.I."" Spell/Trap Card or effect, is activated that inflicts damage to your opponent, even during the Damage Step (Quick Effect): You can banish this card from your GY; double that damage inflicted to your opponent. You can only use each effect of ""Donyoribo @Ignister"" once per turn.",MONSTER,[Cyberse／Effect],DARK,300,0,0.17,,14816,207886,IGAS-EN007C,IGAS-EN007,IGNITION ASSAULT,2020-01-31,C Common,1,Donyoribo @Ignister,False
Doodle Beast - Stego,"If you control no monsters, or if all monsters you control are Dinosaur monsters: You can Special Summon this card from your hand. If this card is Normal or Special Summoned: You can add 1 ""Doodlebook"" Spell/Trap from your Deck to your hand, then discard 1 card. You can only use each effect of ""Doodle Beast - Stego"" once per turn.",MONSTER,[Dinosaur／Effect],EARTH,1200,1800,0.31,,17648,453584,BLCR-EN032SE,BLCR-EN032,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,SE Secret Rare,5,Doodle Beast - Stego,False
Doodle Beast - Tyranno,"You can Tribute Summon this card by Tributing 1 Dinosaur monster. During the Main Phase, if a Dinosaur monster is on the field, you can (Quick Effect): Immediately after this effect resolves, Tribute Summon this card from your hand. You can only use this effect of ""Doodle Beast - Tyranno"" once per turn. If this card is Normal Summoned: You can destroy 1 monster on the field, then, if this card was Tribute Summoned by Tributing a ""Doodle Beast"" monster(s), it gains ATK equal to half the destroyed monster's ATK on the field.",MONSTER,[Dinosaur／Effect],EARTH,2400,1200,0.3,,17649,453585,BLCR-EN033SE,BLCR-EN033,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,SE Secret Rare,8,Doodle Beast - Tyranno,False
Doom Donuts,FLIP: Destroy all face-up monsters on the field with an original ATK or DEF of 0.,MONSTER,[Fiend／Flip／Effect],DARK,0,0,0.21,,9579,59094,GAOV-EN096C,GAOV-EN096,GALACTIC OVERLORD,2012-05-08,C Common,1,Doom Donuts,False
Doom Dozer,Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 2 Insect monsters from your GY. If this card inflicts battle damage to your opponent: Send the top card of their Deck to the GY.,MONSTER,[Insect／Effect],EARTH,2800,2600,5.81,,6602,451092,MAMA-EN049UR,DL14-EN004,DUELIST LEAGUE 14,2012-06-01,R Rare,8,Doom Dozer,False
Doom Kraken,"If ""Umi"" is on the field (Quick Effect): You can target 1 WATER monster you control, except ""Doom Kraken"", and 1 monster your opponent controls; Special Summon this card from your hand, and if you do, return that monster you control to the hand, and if you do that, destroy that opponent's monster. When an opponent's monster declares an attack: You can return this card to the hand, and if you do, negate that attack. You can only use each effect of ""Doom Kraken"" once per turn.",MONSTER,[Aqua／Effect],WATER,1400,1600,0.23,,17048,274774,LED9-EN018SR,LED9-EN018,LEGENDARY DUELISTS: DUELS FROM THE DEEP,2022-06-17,SR Super Rare,4,Doom Kraken,False
Doom Shaman,"This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is a Normal Monster on the field, you can Normal Summon it to have it become an Effect Monster with this effect.●Once per turn: You can Special Summon 1 Fiend-Type monster from your hand or from either Graveyard. When this card leaves the field, destroy all Fiend-Type monsters Special Summoned by this effect.",MONSTER,[Spellcaster／Gemini／Effect],DARK,2400,2000,1.6675,,7202,125544,OP03-EN019C,TAEV-EN025,TACTICAL EVOLUTION,2007-08-15,C Common,6,Doom Shaman,False
Doom Virus Dragon,"Must be Special Summoned with ""The Fang of Critias"", using ""Crush Card Virus"". If this card is Special Summoned: Look at your opponent's hand, all monsters they control, and all cards they draw until the end of their 3rd turn after this effect's activation, and destroy all those monsters with 1500 or more ATK.",MONSTER,[Dragon／Fusion／Effect],DARK,1900,1500,0.83,,11882,221590,DLCS-EN055UR,DLCS-EN055,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,UR Ultra Rare,4,Doom Virus Dragon,False
Doombearer Psychopompos,"If this card is Special Summoned: Apply this effect, based on whether your opponent has more monsters in their GY, or more Spells & Traps. (If they have more monsters, banish this card, and if you do, your opponent banishes 1 monster from their GY. If they have more Spells & Traps, send this card to the GY, and if you do, your opponent sends 1 monster they control to the GY.) During the End Phase of the next turn after this card was banished: You can Special Summon this banished card. You can only use each effect of ""Doombearer Psychopompos"" once per turn.",MONSTER,[Zombie／Tuner／Effect],EARTH,0,0,0.11,,16217,245782,DAMA-EN028C,DAMA-EN028,DAWN OF MAJESTY,2021-08-13,C Common,2,Doombearer Psychopompos,False
Doomcaliber Knight,"Cannot be Special Summoned. When a monster effect is activated (Quick Effect): Tribute this face-up card; negate the activation, and if you do, destroy that monster.",MONSTER,[Fiend／Effect],DARK,1900,1800,8.0618,,6001,600150,SBC2-ENE04C,BP01-EN141,BATTLE PACK 2 WAR OF THE GIANTS,2012-05-28,C Common,4,Doomcaliber Knight,False
Doomdog Octhros,"If this card is sent from the field to the GY: Add 1 Level 8 Fiend monster from your Deck to your hand. You can only use this effect of ""Doomdog Octhros"" once per turn.",MONSTER,[Fiend／Effect],DARK,800,800,0.2667,,11711,600151,SBC2-ENE10C,CROS-EN036,2016 MEGA-TINS MEGA PACK,2015-05-15,C Common,3,Doomdog Octhros,False
Doomkaiser Dragon,"""Plaguespreader Zombie"" + 1+ non-Tuner Zombie monstersWhen this card is Special Summoned: You can target 1 Zombie monster in your opponent's GY; Special Summon that target to your field in Attack Position, but destroy it when this card leaves the field.",MONSTER,[Zombie／Synchro／Effect],FIRE,2400,1500,5.885,,7848,453792,BLCR-EN081SE,DL16-EN011,DUELIST LEAGUE 16,2013-07-01,R Rare,6,Doomkaiser Dragon,False
Doomkaiser Dragon/Assault Mode,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with ""Assault Mode Activate"". When this card is Special Summoned, Special Summon any number of Zombie-Type monsters from either player's Graveyard(s) to your side of the field. Those monsters' effects are negated, and they are destroyed during the End Phase this turn. When this card on the field is destroyed, you can Special Summon 1 ""Doomkaiser Dragon"" from your Graveyard.",MONSTER,[Zombie／Effect],FIRE,2900,2000,4.93,,8017,28988,CRMS-EN019UR,CRMS-EN019,CRIMSON CRISIS,2009-03-03,UL Ultimate Rare,8,Doomkaiser Dragon/Assault Mode,False
Doomking Balerdroch,"During the Standby Phase, if a face-up card is in a Field Zone and this card is in your GY: You can Special Summon this card in Defense Position. You can only use this effect of ""Doomking Balerdroch"" once per turn. Once per Chain, when a Zombie monster, except ""Doomking Balerdroch"", activates its effect (except during the Damage Step) (Quick Effect): You can apply 1 of these effects (but you cannot apply that same effect of ""Doomking Balerdroch"" again this turn).●Negate that effect.●Banish 1 monster from the field or GY.",MONSTER,[Zombie／Effect],DARK,2800,2000,0.305,,14056,269515,GFP2-EN113UR,GFP2-EN113,GHOSTS FROM THE PAST: THE 2ND HAUNTING,2018-11-02,UR Ultra Rare,8,Doomking Balerdroch,False
