name,description,type,sub_type,attribute,attack,defense,price,volatility,rank,set_id,Unnamed: 0,rarity,set_name,set_release,name_official,index,index_market,join_id,set_release_parsed,Decks
"Eco, Mystical Spirit of the Forest","When you take damage from an opponent's card effect: You can Special Summon this card from your hand, and if you do, inflict damage to your opponent equal to the damage you took, also both players take no further effect damage this turn.",MONSTER,[Plant／Effect],EARTH,1700.0,1000.0,,,,['REDU-EN091'],11275,R Rare,RETURN OF THE DUELIST,2012-08-28,"Eco, Mystical Spirit of the Forest",10106,60241,REDU-EN091R,2012-08-28,['REDU-EN091 (RETURN OF THE DUELIST)']
Eda the Sun Magician,"If this card is Normal Summoned or flipped face-up: You can Special Summon 1 Spellcaster monster with 1500 DEF from your hand or Deck in face-down Defense Position, except ""Eda the Sun Magician"". During your opponent's Main Phase (Quick Effect): You can change 1 face-down Spellcaster monster you control to face-up Attack or Defense Position. You can only use each effect of ""Eda the Sun Magician"" once per turn.",MONSTER,[Spellcaster／Effect],EARTH,1500.0,1500.0,,,,"['MP22-EN110', 'LIOV-EN093']",11284,C Common,2022 TIN OF THE PHARAOH'S GODS,2022-09-16,Eda the Sun Magician,15575,285098,MP22-EN110C,2022-09-16,"[""MP22-EN110 (2022 TIN OF THE PHARAOH'S GODS)"", 'LIOV-EN093 (LIGHTNING OVERDRIVE)']"
Edea the Heavenly Squire,"If this card is Normal or Special Summoned: You can Special Summon 1 monster with 800 ATK/1000 DEF from your Deck in Defense Position, except ""Edea the Heavenly Squire"", also you cannot Special Summon monsters from the Extra Deck for the rest of this turn. If this card is sent to the GY: You can target 1 of your banished ""Monarch"" Spells/Traps; add it to your hand. You can only use each effect of ""Edea the Heavenly Squire"" once per turn.",MONSTER,[Warrior／Effect],LIGHT,800.0,1000.0,,,,"['BROL-EN078', 'SR01-EN003']",11286,UR Ultra Rare,BROTHERS OF LEGEND,2021-12-03,Edea the Heavenly Squire,12093,256369,BROL-EN078UR,2021-12-03,"['BROL-EN078 (BROTHERS OF LEGEND)', 'SR01-EN003 (EMPEROR OF DARKNESS STRUCTURE DECK)']"
Edge Imp Chain,"When this card declares an attack: You can add 1 ""Edge Imp Chain"" from your Deck to your hand. If this card is sent from the hand or field to the GY: You can add 1 ""Frightfur"" card from your Deck to your hand. You can only use 1 ""Edge Imp Chain"" effect per turn, and only once that turn.",MONSTER,[Fiend／Effect],DARK,1200.0,1800.0,,,,"['JUSH-EN012', 'RA04-EN014', 'RA04-EN014', 'RA04-EN014', 'RA04-EN014', 'RA04-EN014', 'BLCR-EN078', 'FUEN-EN019', 'MP16-EN012', 'CROS-EN013']",11290,R Rare,Justice Hunters,2025-08-01,Edge Imp Chain,11688,645221,JUSH-EN012R,2025-08-01,"['JUSH-EN012 (Justice Hunters)', 'RA04-EN014 (QUARTER CENTURY STAMPEDE)', 'RA04-EN014 (BATTLES OF LEGEND: CRYSTAL REVENGE)', 'RA04-EN014 (FUSION ENFORCERS)', 'RA04-EN014 (2016 MEGA-TINS MEGA PACK)', 'RA04-EN014 (CROSSED SOULS)']"
Edge Imp Cotton Eater,"If this card is Special Summoned: You can inflict 200 damage to your opponent for each ""Frightfur"" monster in your GY. You can only use this effect of ""Edge Imp Cotton Eater"" once per turn.",MONSTER,[Fiend／Pendulum／Effect],DARK,2400.0,1600.0,,,,"['MP19-EN227', 'SOFU-EN093']",11300,C Common,2019 GOLD SARCOPHAGUS TIN MEGA PACK,2019-08-30,Edge Imp Cotton Eater,13038,197519,MP19-EN227C,2019-08-30,"['MP19-EN227 (2019 GOLD SARCOPHAGUS TIN MEGA PACK)', 'SOFU-EN093 (SOUL FUSION)']"
Edge Imp Frightfuloid,"(This card is always treated as a ""Frightfur"" card.)You can target 1 ""Frightfur"" Fusion Monster you control or in your Graveyard; this card's ATK and DEF each become equal to the original ATK and DEF of that monster, until the end of this turn. You can only use this effect of ""Edge Imp Frightfuloid"" once per turn.",MONSTER,[Fiend／Effect],DARK,1300.0,1300.0,,,,"['MP16-EN013', 'CROS-EN015']",11302,C Common,2016 MEGA-TINS MEGA PACK,2016-09-02,Edge Imp Frightfuloid,11690,122310,MP16-EN013C,2016-09-02,"['MP16-EN013 (2016 MEGA-TINS MEGA PACK)', 'CROS-EN015 (CROSSED SOULS)']"
Edge Imp Sabres,"If this card is in your GY: You can place 1 card from your hand on the top of the Deck; Special Summon this card in Defense Position. You can only use this effect of ""Edge Imp Sabres"" once per turn.",MONSTER,[Fiend／Effect],DARK,1200.0,800.0,,,,"['LART-EN015', 'FUEN-EN018', 'SP15-EN022', 'SP15-EN022', 'NECH-ENS02', 'NECH-EN014']",11304,UR Ultra Rare,The Lost Art Promotion,2020-01-01,Edge Imp Sabres,11346,211805,LART-EN015UR,2020-01-01,"['LART-EN015 (The Lost Art Promotion)', 'FUEN-EN018 (FUSION ENFORCERS)', 'SP15-EN022 (STAR PACK ARC-V)', 'SP15-EN022 (THE NEW CHALLENGERS SUPER EDITION)', 'NECH-ENS02 (THE NEW CHALLENGERS)']"
Edge Imp Saw,"When this card is Normal Summoned: You can send 1 ""Fluffal"" monster from your hand to the Graveyard; draw 2 cards, then place 1 card from your hand on either the top or bottom of your Deck. You can only use this effect of ""Edge Imp Saw"" once per turn.",MONSTER,[Fiend／Effect],DARK,500.0,1000.0,,,,"['SP17-EN015', 'SP17-EN015', 'MP16-EN011', 'CROS-EN012']",11310,C Common,STAR PACK BATTLE ROYAL,2017-03-10,Edge Imp Saw,11687,129195,SP17-EN015C,2017-03-10,"['SP17-EN015 (STAR PACK BATTLE ROYAL)', 'SP17-EN015 (2016 MEGA-TINS MEGA PACK)', 'MP16-EN011 (CROSSED SOULS)']"
Edge Imp Scythe,"During your opponent's Main Phase (Quick Effect): You can reveal this card in your hand; Fusion Summon 1 ""Frightfur"" Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material, including this card in your hand. If a ""Frightfur"" Fusion Monster(s) you control would be destroyed by battle or card effect, you can banish this card from your GY instead. You can only use each effect of ""Edge Imp Scythe"" once per turn.",MONSTER,[Fiend／Effect],DARK,1000.0,0.0,,,,['ROTD-EN022'],11314,C Common,RISE OF THE DUELIST,2020-08-07,Edge Imp Scythe,15256,218898,ROTD-EN022C,2020-08-07,['ROTD-EN022 (RISE OF THE DUELIST)']
Edge Imp Tomahawk,"You can send 1 ""Edge Imp"" monster from your hand to the Graveyard; inflict 800 damage to your opponent. You can send 1 ""Edge Imp"" monster from your Deck to the Graveyard, except ""Edge Imp Tomahawk""; this card's name becomes the sent monster's name, until the End Phase. You can only use each effect of ""Edge Imp Tomahawk"" once per turn.",MONSTER,[Fiend／Effect],DARK,1800.0,800.0,,,,['CROS-EN014'],11315,R Rare,CROSSED SOULS,2015-05-15,Edge Imp Tomahawk,11689,98414,CROS-EN014R,2015-05-15,['CROS-EN014 (CROSSED SOULS)']
Effect Veiler,"During your opponent's Main Phase (Quick Effect): You can send this card from your hand to the GY, then target 1 Effect Monster your opponent controls; negate the effects of that face-up monster your opponent controls, until the end of this turn.",MONSTER,[Spellcaster／Tuner／Effect],LIGHT,0.0,0.0,,,,"['25YC-EN002', 'RA04-EN004', 'SDWD-EN018', 'SDWD-EN018', 'RA01-EN003', 'RA01-EN003', 'RA01-EN003', 'RA01-EN003', 'RA01-EN003', 'SDAZ-EN018', 'SDCH-EN017', 'ETCO-EN100', 'DUDE-EN028', 'LEHD-ENC12', 'SDPL-EN017', 'YS17-EN020', 'SDSE-EN018', 'NKRT-EN039', 'LC5D-EN018', 'PGLD-EN036', 'ORCS-ENSE1', 'DP10-EN007', 'DREV-EN002', 'DREV-EN002']",11317,UR Ultra Rare,Yu-Gi-Oh! Championship Prize Cards 2025,2025-06-08,Effect Veiler,8933,637080,25YC-EN002UR,2025-06-08,"['25YC-EN002 (Yu-Gi-Oh! Championship Prize Cards 2025)', 'RA04-EN004 (QUARTER CENTURY STAMPEDE)', 'SDWD-EN018 (STRUCTURE DECK: BLUE-EYES WHITE DESTINY)', 'SDWD-EN018 (25TH ANNIVERSARY RARITY COLLECTION)', 'RA01-EN003 (STRUCTURE DECK: ALBAZ STRIKE)', 'RA01-EN003 (STRUCTURE DECK: SPIRIT CHARMERS)', 'RA01-EN003 (ETERNITY CODE)', 'RA01-EN003 (Duel Devastator)', 'RA01-EN003 (LEGENDARY HERO DECKS)', 'SDAZ-EN018 (STRUCTURE DECK: POWERCODE LINK)', 'SDCH-EN017 (STARTER DECK - LINK STRIKE -)', 'ETCO-EN100 (SYNCHRON EXTREME STRUCTURE DECK)', 'DUDE-EN028 (NOBLE KNIGHTS OF THE ROUND TABLE BOX SET Power-Up Pack)', ""LEHD-ENC12 (LEGENDARY COLLECTION 5D's MEGA PACK)"", 'SDPL-EN017 (PREMIUM GOLD)', 'YS17-EN020 (ORDER OF CHAOS SPECIAL EDITION)', 'SDSE-EN018 (DUELIST PACK - YUSEI 3 -)', 'NKRT-EN039 (DUELIST REVOLUTION)']"
Egotistical Ape,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by sending 1 Beast-Type monster from your hand to the Graveyard. When this card is Special Summoned this way, you can activate 1 of these effects:●Increase the Level of this card by the Level of the Beast-Type monster.●Decrease the Level of this card by the Level of the Beast-Type monster.",MONSTER,[Beast／Tuner／Effect],EARTH,1200.0,1200.0,,,,['DREV-EN008'],11352,R Rare,DUELIST REVOLUTION,2010-08-17,Egotistical Ape,8939,35761,DREV-EN008R,2010-08-17,['DREV-EN008 (DUELIST REVOLUTION)']
Egyptian God Slime,"1 Aqua monster + 1 Level 10 WATER monsterMust first be either Fusion Summoned, or Special Summoned from your Extra Deck by Tributing 1 Level 10 Aqua monster with 0 ATK. This card can be treated as 1 or 3 Tributes for the Tribute Summon of a monster. Cannot be destroyed by battle. Your opponent's monsters cannot target for attacks, and your opponent cannot target with card effects, any monsters you control, except ""Egyptian God Slime"".",MONSTER,[Aqua／Fusion／Effect],WATER,3000.0,3000.0,,,,"['RA01-EN029', 'RA01-EN029', 'RA01-EN029', 'RA01-EN029', 'RA01-EN029', 'LED7-EN001']",11353,SR Super Rare,25TH ANNIVERSARY RARITY COLLECTION,2023-11-03,Egyptian God Slime,15332,524976,RA01-EN029SR,2023-11-03,"['RA01-EN029 (25TH ANNIVERSARY RARITY COLLECTION)', 'RA01-EN029 (LEGENDARY DUELISTS: RAGE OF RA)']"
"Ehren, Lightsworn Monk","If this card attacks a Defense Position monster, before damage calculation: Shuffle that monster into the Deck. Once per turn, during your End Phase: Send the top 3 cards of your Deck to the Graveyard.",MONSTER,[Warrior／Effect],LIGHT,1600.0,1000.0,,,,"['SR02-EN021', 'SDLI-EN011', 'SDLI-EN011', 'CT08-EN016', 'LODT-EN082', 'LODT-EN082']",11359,C Common,RISE OF THE TRUE DRAGONS STRUCTURE DECK,2016-07-08,"Ehren, Lightsworn Monk",7797,120309,SR02-EN021C,2016-07-08,"['SR02-EN021 (RISE OF THE TRUE DRAGONS STRUCTURE DECK)', 'SDLI-EN011 (REALM OF LIGHT STRUCTURE DECK)', 'SDLI-EN011 (COLLECTIBLE TIN 2011 WAVE 2)', 'CT08-EN016 (LIGHT OF DESTRUCTION)']"
Ehther the Heavenly Monarch,"You can Tribute Summon this card by Tributing 1 Tribute Summoned monster. If this card is Tribute Summoned: You can send 2 ""Monarch"" Spells/Traps with different names from your hand and/or Deck to the GY, and if you do, Special Summon 1 monster with 2400 or more ATK and 1000 DEF from your Deck, but return it to the hand during the End Phase. Once per Chain, during your opponent's Main Phase, if this card is in your hand (Quick Effect): You can banish 1 ""Monarch"" Spell/Trap from your GY; immediately after this effect resolves, Tribute Summon this card.",MONSTER,[Fairy／Effect],LIGHT,2800.0,1000.0,,,,"['RA04-EN018', 'RA04-EN018', 'RA04-EN018', 'RA04-EN018', 'RA04-EN018', 'SR01-EN000']",11365,SR Super Rare,QUARTER CENTURY STAMPEDE,2025-04-11,Ehther the Heavenly Monarch,12090,626769,RA04-EN018SR,2025-04-11,"['RA04-EN018 (QUARTER CENTURY STAMPEDE)', 'RA04-EN018 (EMPEROR OF DARKNESS STRUCTURE DECK)']"
Eidos the Underworld Monarch,"If this card is Normal or Special Summoned: You can add 1 ""Monarch"" Spell/Trap or 1 monster with 2800 ATK/1000 DEF from your Deck or GY to your hand. You can declare 1 Attribute; make 1 face-up monster on the field become that Attribute. If you Tribute Summon a monster with 2400 or more ATK and 1000 DEF, while this card is in your GY: You can add this card to your hand or Special Summon it. You can only use each effect of ""Eidos the Underworld Monarch"" once per turn.",MONSTER,[Spellcaster／Effect],DARK,2400.0,1000.0,,,,"['DUAD-EN017', 'DUAD-EN017']",11371,UR Ultra Rare,DUELIST'S ADVANCE,2025-07-04,Eidos the Underworld Monarch,21428,639354,DUAD-EN017UR,2025-07-04,"[""DUAD-EN017 (DUELIST'S ADVANCE)""]"
Eidos the Underworld Squire,"If this card is Normal or Special Summoned: During your Main Phase this turn, you can Tribute Summon 1 monster, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) You can banish this card from your GY, then target 1 monster with 800 ATK/1000 DEF in your GY, except ""Eidos the Underworld Squire""; Special Summon it in Defense Position, also you cannot Special Summon monsters from the Extra Deck for the rest of this turn. You can only use this effect of ""Eidos the Underworld Squire"" once per turn.",MONSTER,[Spellcaster／Effect],DARK,800.0,1000.0,,,,"['BROL-EN077', 'SR01-EN002']",11373,UR Ultra Rare,BROTHERS OF LEGEND,2021-12-03,Eidos the Underworld Squire,12092,256368,BROL-EN077UR,2021-12-03,"['BROL-EN077 (BROTHERS OF LEGEND)', 'SR01-EN002 (EMPEROR OF DARKNESS STRUCTURE DECK)']"
Eka the Flame Buddy,"If this card is Normal or Special Summoned: You can target 1 face-up Monster Card in either player's Spell & Trap Zone; Special Summon it to your field. You can target 1 other face-up monster you control; equip that face-up monster to this card as an Equip Spell that gives it 500 ATK. You can only use each effect of ""Eka the Flame Buddy"" once per turn.",MONSTER,[Warrior／Effect],FIRE,1500.0,200.0,,,,"['MP23-EN130', 'POTE-EN034']",11378,C Common,25TH ANNIVERSARY TIN: DUELING HEROES MEGA PACK,2023-09-08,Eka the Flame Buddy,17436,514682,MP23-EN130C,2023-09-08,"['MP23-EN130 (25TH ANNIVERSARY TIN: DUELING HEROES MEGA PACK)', 'POTE-EN034 (POWER OF THE ELEMENTS)']"
El Shaddoll Anoyatyllis,"1 ""Shaddoll"" monster + 1 WATER monsterMust first be Fusion Summoned. Neither player can Special Summon monsters from the hand or GY using Spell/Trap effects. If this card is sent to the GY: You can target 1 ""Shaddoll"" Spell/Trap in your GY; add it to your hand.",MONSTER,[Fiend／Fusion／Effect],WATER,2700.0,2000.0,,,,"['SDSH-EN043', 'CROS-EN044']",11384,C Common,STRUCTURE DECK: SHADDOLL SHOWDOWN,2020-02-14,El Shaddoll Anoyatyllis,11719,209006,SDSH-EN043C,2020-02-14,"['SDSH-EN043 (STRUCTURE DECK: SHADDOLL SHOWDOWN)', 'CROS-EN044 (CROSSED SOULS)']"
El Shaddoll Apkallone,"2 ""Shaddoll"" monsters with different AttributesMust first be Fusion Summoned. Cannot be destroyed by battle. You can only use each of the following effects of ""El Shaddoll Apkallone"" once per turn.●If this card is Special Summoned: You can target 1 face-up card on the field; negate its effects.●If this card is sent to the GY: You can add 1 ""Shaddoll"" card from your Deck or GY to your hand, then discard 1 card.",MONSTER,[Spellcaster／Fusion／Effect],DARK,2500.0,2000.0,,,,"['MP21-EN246', 'SDSH-EN045']",11386,PSE Prismatic Secret Rare,2021 TIN OF ANCIENT BATTLES,2021-10-01,El Shaddoll Apkallone,14968,248922,MP21-EN246PSE,2021-10-01,"['MP21-EN246 (2021 TIN OF ANCIENT BATTLES)', 'SDSH-EN045 (STRUCTURE DECK: SHADDOLL SHOWDOWN)']"
El Shaddoll Construct,"1 ""Shaddoll"" monster + 1 LIGHT monsterMust first be Fusion Summoned. If this card is Special Summoned: You can send 1 ""Shaddoll"" card from your Deck to the GY. At the start of the Damage Step, if this card battles a Special Summoned monster: Destroy that monster. If this card is sent to the GY: You can target 1 ""Shaddoll"" Spell/Trap in your GY; add it to your hand.",MONSTER,[Fairy／Fusion／Effect],LIGHT,2800.0,2500.0,,,,"['RA04-EN229', 'RA04-EN229', 'RA04-EN229', 'RA04-EN229', 'MP21-EN247', 'SDSH-EN046', 'DUPO-EN090', 'MP15-EN094', 'DUEA-EN049', 'DUEA-EN049']",11388,PS Platinum Secret Rare,QUARTER CENTURY STAMPEDE,2025-04-11,El Shaddoll Construct,11258,627531,RA04-EN229PS,2025-04-11,"['RA04-EN229 (QUARTER CENTURY STAMPEDE)', 'RA04-EN229 (2021 TIN OF ANCIENT BATTLES)', 'RA04-EN229 (STRUCTURE DECK: SHADDOLL SHOWDOWN)', 'RA04-EN229 (DUEL POWER)', 'MP21-EN247 (2015 MEGA-TINS MEGA PACK)', 'SDSH-EN046 (DUELIST ALLIANCE)']"
El Shaddoll Grysta,"1 ""Shaddoll"" monster + 1 FIRE monsterMust first be Fusion Summoned. When your opponent would Special Summon a monster(s) while you have a ""Shaddoll"" card in your hand (Quick Effect): You can negate the Summon, and if you do, destroy that monster, then send 1 ""Shaddoll"" card from your hand to the GY. You can only use this effect of ""El Shaddoll Grysta"" once per turn. If this card is sent to the GY: You can target 1 ""Shaddoll"" Spell/Trap in your GY; add it to your hand.",MONSTER,[Rock／Fusion／Effect],FIRE,2450.0,1950.0,,,,"['SDSH-EN041', 'MP15-EN160', 'NECH-EN048']",11403,UR Ultra Rare,STRUCTURE DECK: SHADDOLL SHOWDOWN,2020-02-14,El Shaddoll Grysta,11380,209004,SDSH-EN041UR,2020-02-14,"['SDSH-EN041 (STRUCTURE DECK: SHADDOLL SHOWDOWN)', 'MP15-EN160 (2015 MEGA-TINS MEGA PACK)', 'NECH-EN048 (THE NEW CHALLENGERS)']"
El Shaddoll Shekhinaga,"1 ""Shaddoll"" monster + 1 EARTH monsterMust first be Fusion Summoned. When a Special Summoned monster activates its effect while you have a ""Shaddoll"" card in your hand (Quick Effect): You can negate the activation, and if you do, destroy that monster, then send 1 ""Shaddoll"" card from your hand to the GY. You can only use this effect of ""El Shaddoll Shekhinaga"" once per turn. If this card is sent to the GY: You can target 1 ""Shaddoll"" Spell/Trap in your GY; add it to your hand.",MONSTER,[Machine／Fusion／Effect],EARTH,2600.0,3000.0,,,,"['SDSH-EN048', 'MP15-EN161', 'NECH-EN049', 'NECH-EN049']",11406,SR Super Rare,STRUCTURE DECK: SHADDOLL SHOWDOWN,2020-02-14,El Shaddoll Shekhinaga,11381,209011,SDSH-EN048SR,2020-02-14,"['SDSH-EN048 (STRUCTURE DECK: SHADDOLL SHOWDOWN)', 'MP15-EN161 (2015 MEGA-TINS MEGA PACK)', 'NECH-EN049 (THE NEW CHALLENGERS)']"
El Shaddoll Wendigo,"1 ""Shaddoll"" monster + 1 WIND monsterMust first be Fusion Summoned. (Quick Effect): You can target 1 monster you control; this turn, it cannot be destroyed by battle with an opponent's Special Summoned monster. You can only use this effect of ""El Shaddoll Wendigo"" once per turn. If this card is sent to the GY: You can target 1 ""Shaddoll"" Spell/Trap in your GY; add it to your hand.",MONSTER,[Psychic／Fusion／Effect],WIND,200.0,2800.0,,,,"['SDSH-EN042', 'MP15-EN221', 'SECE-ENS10', 'SECE-EN047']",11410,C Common,STRUCTURE DECK: SHADDOLL SHOWDOWN,2020-02-14,El Shaddoll Wendigo,11567,209005,SDSH-EN042C,2020-02-14,"['SDSH-EN042 (STRUCTURE DECK: SHADDOLL SHOWDOWN)', 'MP15-EN221 (2015 MEGA-TINS MEGA PACK)', 'SECE-ENS10 (SECRETS OF ETERNITY SUPER EDITION)', 'SECE-EN047 (SECRETS OF ETERNITY)']"
El Shaddoll Winda,"1 ""Shaddoll"" monster + 1 DARK monsterMust first be Fusion Summoned. Cannot be destroyed by an opponent's card effects. Each player can only Special Summon monster(s) once per turn while this card is face-up on the field. If this card is sent to the GY: You can target 1 ""Shaddoll"" Spell/Trap in your GY; add it to your hand.",MONSTER,[Spellcaster／Fusion／Effect],DARK,2200.0,800.0,,,,"['RA04-EN052', 'RA04-EN052', 'RA04-EN052', 'RA04-EN052', 'RA04-EN052', 'RA04-EN052', 'SDSH-EN047', 'SHVA-EN049', 'MP15-EN093', 'DUEA-EN048']",11414,SR Super Rare,QUARTER CENTURY STAMPEDE,2025-04-11,El Shaddoll Winda,11257,628088,RA04-EN052SR,2025-04-11,"['RA04-EN052 (QUARTER CENTURY STAMPEDE)', 'RA04-EN052 (STRUCTURE DECK: SHADDOLL SHOWDOWN)', 'RA04-EN052 (SHADOWS IN VALHALLA)', 'RA04-EN052 (2015 MEGA-TINS MEGA PACK)', 'RA04-EN052 (DUELIST ALLIANCE)']"
Elder Entity N'tss,"1 Synchro Monster + 1 Xyz MonsterMust be Special Summoned (from your Extra Deck) by sending the above cards you control to the GY. Once per turn: You can Special Summon 1 Level 4 monster from your hand. If this card is sent to the GY: You can target 1 card on the field; destroy it. You can only Special Summon ""Elder Entity N'tss(s)"" once per turn.",MONSTER,[Fairy／Fusion／Effect],LIGHT,2500.0,1200.0,,,,"['RA01-EN026', 'RA01-EN026', 'RA01-EN026', 'RA01-EN026', 'RA01-EN026', 'MAMA-EN063', 'MAGO-EN026', 'CT14-EN009']",11425,SR Super Rare,25TH ANNIVERSARY RARITY COLLECTION,2023-11-03,Elder Entity N'tss,11878,524669,RA01-EN026SR,2023-11-03,"['RA01-EN026 (25TH ANNIVERSARY RARITY COLLECTION)', 'RA01-EN026 (MAGNIFICENT MAVENS)', 'RA01-EN026 (Gold Series: Maximum Gold)', 'RA01-EN026 (2017 MEGA-TINS)']"
Elder Entity Norden,"1 Synchro or Xyz Monster + 1 Synchro or Xyz MonsterWhen this card is Special Summoned: You can target 1 Level 4 or lower monster in your GY; Special Summon it, but its effects are negated, also banish it when this card leaves the field.",MONSTER,[Fairy／Fusion／Effect],WATER,2000.0,2200.0,,,,"['RA04-EN226', 'RA04-EN226', 'CT12-EN003']",11433,PS Platinum Secret Rare,QUARTER CENTURY STAMPEDE,2025-04-11,Elder Entity Norden,11207,627525,RA04-EN226PS,2025-04-11,"['RA04-EN226 (QUARTER CENTURY STAMPEDE)', 'RA04-EN226 (2015 MEGA-TINS)']"
Elder of the Six Samurai,"If your opponent controls a monster and you control no monsters, you can Special Summon this card (from your hand).",MONSTER,[Warrior／Effect],EARTH,400.0,0.0,,,,"['SDWA-EN021', 'SAAS-EN001', 'EXVC-EN028']",11436,C Common,SAMURAI WARLORDS STRUCTURE DECK,2012-06-26,Elder of the Six Samurai,9499,59863,SDWA-EN021C,2012-06-26,"['SDWA-EN021 (SAMURAI WARLORDS STRUCTURE DECK)', 'SAAS-EN001 (SAMURAI ASSAULT)', 'EXVC-EN028 (EXTREME VICTORY)']"
Eldlich the Golden Lord,"You can send this card and 1 Spell/Trap from your hand to the GY, then target 1 card on the field; send it to the GY. If this card is in your GY: You can send 1 Spell/Trap you control to the GY; add this card to your hand, then you can Special Summon 1 Zombie monster from your hand, and if you do, until the end of your opponent's turn, it gains 1000 ATK/DEF and cannot be destroyed by card effects. You can only use each effect of ""Eldlich the Golden Lord"" once per turn.",MONSTER,[Zombie／Effect],LIGHT,2500.0,2800.0,,,,"['LART-EN066', 'STAX-EN016', 'RA01-EN019', 'RA01-EN019', 'RA01-EN019', 'RA01-EN019', 'RA01-EN019', 'RA01-EN019', 'RA01-EN019', 'RA01-EN019', 'RA01-EN019', 'RA01-EN019', 'MGED-EN024', 'MAGO-EN024', 'SESL-EN027']",11439,UR Ultra Rare,The Lost Art Promotion 9,2024-12-04,Eldlich the Golden Lord,15123,551674,LART-EN066UR,2024-12-04,"['LART-EN066 (The Lost Art Promotion 9)', 'STAX-EN016 (2-PLAYER STARTER SET)', 'RA01-EN019 (25TH ANNIVERSARY RARITY COLLECTION)', 'RA01-EN019 (MAXIMUM GOLD: EL DORADO)', 'RA01-EN019 (Gold Series: Maximum Gold)', 'RA01-EN019 (SECRET SLAYERS)']"
Eldlich the Mad Golden Lord,"1 ""Eldlich"" monster + 1 Level 5 or higher Zombie monsterThis card's name becomes ""Eldlich the Golden Lord"" while on the field. Cannot be destroyed by battle or card effects. You can Tribute 1 Zombie monster, then target 1 face-up monster your opponent controls; take control of it, but it cannot attack or activate its effects this turn. You can only use this effect of ""Eldlich the Mad Golden Lord"" once per turn.",MONSTER,[Zombie／Fusion／Effect],LIGHT,3800.0,3500.0,,,,['BLVO-EN040'],11454,SE Secret Rare,BLAZING VORTEX,2021-02-05,Eldlich the Mad Golden Lord,15731,231353,BLVO-EN040SE,2021-02-05,['BLVO-EN040 (BLAZING VORTEX)']
Electric Jellyfish,"You can send 1 ""Umi"" from your hand, Deck, or face-up field to the GY; Special Summon 1 WATER monster from your hand. When your opponent activates a monster effect, or Spell Card or effect, while ""Umi"" is on the field (Quick Effect): You can negate that effect, then, you can make this card gain 600 ATK/DEF. You can only use each effect of ""Electric Jellyfish"" once per turn.",MONSTER,[Aqua／Effect],WATER,1400.0,1700.0,,,,['LED9-EN019'],11460,SR Super Rare,LEGENDARY DUELISTS: DUELS FROM THE DEEP,2022-06-17,Electric Jellyfish,17049,274776,LED9-EN019SR,2022-06-17,['LED9-EN019 (LEGENDARY DUELISTS: DUELS FROM THE DEEP)']
Electric Lizard,"A non Zombie-Type monster attacking ""Electric Lizard"" cannot attack on its following turn.",MONSTER,[Thunder／Effect],EARTH,850.0,800.0,,,,"['MRD-EN048', 'MRD-EN048', 'MRD-048']",11461,C Common,METAL RAIDERS (LC01 25th Anniversary Edition),2023-04-21,Electric Lizard,4616,486287,MRD-EN048C,2023-04-21,"['MRD-EN048 (METAL RAIDERS (LC01 25th Anniversary Edition))', 'MRD-EN048 (METAL RAIDERS)']"
Electric Snake,"When this card is discarded from your hand to the Graveyard by an effect of a card controlled by your opponent, draw 2 cards from your Deck.",MONSTER,[Thunder／Effect],LIGHT,800.0,900.0,,,,"['SRL-EN008', 'SRL-EN008', 'DB1-EN007', 'MRL-008']",11464,C Common,SPELL RULER (LC01 25th Anniversary Edition),2023-04-21,Electric Snake,4469,486503,SRL-EN008C,2023-04-21,"['SRL-EN008 (SPELL RULER (LC01 25th Anniversary Edition))', 'SRL-EN008 (DARK BEGINNING 1)', 'DB1-EN007 (SPELL RULER)']"
Electric Virus,"You can discard this card to the GY, then target 1 Machine or Dragon monster your opponent controls; take control of that target until the End Phase.",MONSTER,[Thunder／Effect],LIGHT,1000.0,1000.0,,,,"['OP24-EN015', 'YSYR-EN022', 'BATT-EN005', 'STON-EN021']",11468,C Common,OTS TOURNAMENT PACK 24,2024-02-14,Electric Virus,6977,538704,OP24-EN015C,2024-02-14,"['OP24-EN015 (OTS TOURNAMENT PACK 24)', 'YSYR-EN022 (STARTER DECK YUGI RELOADED)', 'BATT-EN005 (BATTLE PACK TOURNAMENT)', 'STON-EN021 (STRIKE OF NEOS)']"
Electro Blaster,"If you Normal or Special Summon a FIRE monster(s) (except during the Damage Step): You can Special Summon this card from your hand, then you can send 1 Level 8 Pyro monster from your Deck to the GY. You can only use this effect of ""Electro Blaster"" once per turn. Once per turn, if a Spell Card is activated (except during the Damage Step): You can make all FIRE monsters you currently control gain 300 ATK.",MONSTER,[Machine／Effect],FIRE,1800.0,1400.0,,,,['BLTR-EN024'],11472,UR Ultra Rare,BATTLES OF LEGEND: TERMINAL REVENGE,2024-06-21,Electro Blaster,8927,554877,BLTR-EN024UR,2024-06-21,['BLTR-EN024 (BATTLES OF LEGEND: TERMINAL REVENGE)']
