Unnamed: 0,name,description,set_id,rarity,price,volatility,type,sub_type,attribute,rank,attack,defense,set_name,set_release,name_official,index,index_market,join_id,set_release_parsed
3015,Bicular,"When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 ""Unicycular"" from your hand or Deck.",ABPF-EN002,C Common,,,MONSTER,[Machine／Effect],EARTH,,200.0,200.0,ABSOLUTE POWERFORCE,2010-02-16,Bicular,8613,34505,ABPF-EN002C,2010-02-16
3016,Big Bang Shot,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.",BP02-EN141,C Common,,,SPELL,Equip,,,,,BATTLE PACK 2 WAR OF THE GIANTS,2013-06-28,Big Bang Shot,5669,69373,BP02-EN141C,2013-06-28
3017,Big Bang Shot,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.",BP02-EN141,MR Mosaic Rare,,,SPELL,Equip,,,,,BATTLE PACK 2 WAR OF THE GIANTS,2013-06-28,Big Bang Shot,5669,69588,BP02-EN141MR,2013-06-28
3018,Big Bang Shot,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.",BP01-EN075,C Common,,,SPELL,Equip,,,,,BATTLE PACK EPIC DAWN,2012-05-28,Big Bang Shot,5669,59199,BP01-EN075C,2012-05-28
3019,Big Bang Shot,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.",BP01-EN075,ST Starfoil,,,SPELL,Equip,,,,,BATTLE PACK EPIC DAWN,2012-05-28,Big Bang Shot,5669,69726,BP01-EN075ST,2012-05-28
3020,Big Bang Shot,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.",SDWS-EN026,C Common,,,SPELL,Equip,,,,,WARRIORS' STRIKE STRUCTURE DECK,2009-10-27,Big Bang Shot,5669,33624,SDWS-EN026C,2009-10-27
3021,Big Bang Shot,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.",SDDE-EN024,C Common,,,SPELL,Equip,,,,,THE DARK EMPEROR STRUCTURE DECK,2008-04-02,Big Bang Shot,5669,32999,SDDE-EN024C,2008-04-02
3022,Big Bang Shot,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.",SDRL-EN027,C Common,,,SPELL,Equip,,,,,RISE OF THE DRAGON LORDS STRUCTURE DECK,2007-10-24,Big Bang Shot,5669,26236,SDRL-EN027C,2007-10-24
3023,Big Bang Shot,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.",CP02-EN019,C Common,,,SPELL,Equip,,,,,CHAMPION PACK GAME TWO,2007-02-06,Big Bang Shot,5669,26477,CP02-EN019C,2007-02-06
3024,Big Bang Shot,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.",DR1-EN141,R Rare,,,SPELL,Equip,,,,,DARK REVELATION Volume 1,2005-03-19,Big Bang Shot,5669,23928,DR1-EN141R,2005-03-19
3025,Big Bang Shot,"The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.",MFC-086,R Rare,,,SPELL,Equip,,,,,MAGICIAN'S FORCE,2003-10-10,Big Bang Shot,5669,21778,MFC-086R,2003-10-10
3026,Big Belly Knight,If this card is detached from an Xyz Monster and sent to the Graveyard to activate that monster's effect: You can Special Summon 1 Level 3 or lower monster from your hand.,PGLD-EN004,GSE Gold Secret,,,MONSTER,[Warrior／Effect],EARTH,,1000.0,1600.0,PREMIUM GOLD,2014-03-28,Big Belly Knight,10450,81636,PGLD-EN004GSE,2014-03-28
3027,Big Burn,You can only activate this card when your opponent activates a card that targets a monster in the Graveyard. Remove from play all monsters in both players' Graveyards.,IOC-EN047,SR Super Rare,,,TRAP,,,,,,INVASION OF CHAOS (LC01 25th Anniversary Edition),2023-04-21,Big Burn,5851,487177,IOC-EN047SR,2023-04-21
3028,Big Burn,You can only activate this card when your opponent activates a card that targets a monster in the Graveyard. Remove from play all monsters in both players' Graveyards.,IOC-EN047,SR Super Rare,,,TRAP,,,,,,INVASION OF CHAOS (LC01 25th Anniversary Edition),2023-04-21,Big Burn,5851,476964,IOC-EN047SR,2023-04-21
3029,Big Burn,You can only activate this card when your opponent activates a card that targets a monster in the Graveyard. Remove from play all monsters in both players' Graveyards.,DR2-EN047,SR Super Rare,,,TRAP,,,,,,DARK REVELATION Volume 2,2005-10-20,Big Burn,5851,24668,DR2-EN047SR,2005-10-20
3030,Big Burn,You can only activate this card when your opponent activates a card that targets a monster in the Graveyard. Remove from play all monsters in both players' Graveyards.,IOC-047,SR Super Rare,,,TRAP,,,,,,INVASION OF CHAOS,2004-03-01,Big Burn,5851,23134,IOC-047SR,2004-03-01
3031,Big Burn,You can only activate this card when your opponent activates a card that targets a monster in the Graveyard. Remove from play all monsters in both players' Graveyards.,IOC-EN047,SR Super Rare,,,TRAP,,,,,,INVASION OF CHAOS,2004-03-01,Big Burn,5851,487177,IOC-EN047SR,2004-03-01
3032,Big Burn,You can only activate this card when your opponent activates a card that targets a monster in the Graveyard. Remove from play all monsters in both players' Graveyards.,IOC-EN047,SR Super Rare,,,TRAP,,,,,,INVASION OF CHAOS,2004-03-01,Big Burn,5851,476964,IOC-EN047SR,2004-03-01
3033,Big Evolution Pill,"After this card's activation, it remains on the field, but destroy it during your opponent's 3rd End Phase. Tribute 1 Dinosaur monster to activate this card; while this card is face-up on the field, you can Normal Summon Level 5 or higher Dinosaur monsters without Tributing.",SGX4-ENC12,C Common,,,SPELL,,,,,,SPEED DUEL GX: MIDTERM DESTRUCTION,2024-03-29,Big Evolution Pill,6819,543790,SGX4-ENC12C,2024-03-29
3034,Big Evolution Pill,"After this card's activation, it remains on the field, but destroy it during your opponent's 3rd End Phase. Tribute 1 Dinosaur monster to activate this card; while this card is face-up on the field, you can Normal Summon Level 5 or higher Dinosaur monsters without Tributing.",SR04-EN023,C Common,,,SPELL,,,,,,DINOSMASHER’S FURY STRUCTURE DECK,2017-04-14,Big Evolution Pill,6819,130133,SR04-EN023C,2017-04-14
3035,Big Evolution Pill,"After this card's activation, it remains on the field, but destroy it during your opponent's 3rd End Phase. Tribute 1 Dinosaur monster to activate this card; while this card is face-up on the field, you can Normal Summon Level 5 or higher Dinosaur monsters without Tributing.",LCJW-EN161,C Common,,,SPELL,,,,,,LEGENDARY COLLECTION 4 JOEY'S WORLD MEGA PACK,2013-10-11,Big Evolution Pill,6819,71719,LCJW-EN161C,2013-10-11
3036,Big Evolution Pill,"After this card's activation, it remains on the field, but destroy it during your opponent's 3rd End Phase. Tribute 1 Dinosaur monster to activate this card; while this card is face-up on the field, you can Normal Summon Level 5 or higher Dinosaur monsters without Tributing.",TU07-EN009,R Rare,,,SPELL,,,,,,TURBO PACK BOOSTER SEVEN,2012-01-01,Big Evolution Pill,6819,66761,TU07-EN009R,2012-01-01
3037,Big Evolution Pill,"After this card's activation, it remains on the field, but destroy it during your opponent's 3rd End Phase. Tribute 1 Dinosaur monster to activate this card; while this card is face-up on the field, you can Normal Summon Level 5 or higher Dinosaur monsters without Tributing.",SD09-EN017,C Common,,,SPELL,,,,,,STRUCTURE DECK DINOSAUR'S RAGE,2006-10-20,Big Evolution Pill,6819,26189,SD09-EN017C,2006-10-20
3038,Big Eye,"FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order.",MRD-EN017,C Common,,,MONSTER,[Fiend／Flip／Effect],DARK,,1200.0,1000.0,METAL RAIDERS (LC01 25th Anniversary Edition),2023-04-21,Big Eye,4177,486256,MRD-EN017C,2023-04-21
3039,Big Eye,"FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order.",MRD-EN017,C Common,,,MONSTER,[Fiend／Flip／Effect],DARK,,1200.0,1000.0,METAL RAIDERS (LC01 25th Anniversary Edition),2023-04-21,Big Eye,4177,476287,MRD-EN017C,2023-04-21
3040,Big Eye,"FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order.",BPW2-EN003,C Common,,,MONSTER,[Fiend／Flip／Effect],DARK,,1200.0,1000.0,BATTLE PACK 2 WAR OF THE GIANTS ROUND 2,2014-01-17,Big Eye,4177,78859,BPW2-EN003C,2014-01-17
3041,Big Eye,"FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order.",LCYW-EN230,R Rare,,,MONSTER,[Fiend／Flip／Effect],DARK,,1200.0,1000.0,LEGENDARY COLLECTION 3 YUGI'S WORLD MEGA PACK,2012-10-02,Big Eye,4177,67030,LCYW-EN230R,2012-10-02
3042,Big Eye,"FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order.",DB1-EN152,C Common,,,MONSTER,[Fiend／Flip／Effect],DARK,,1200.0,1000.0,DARK BEGINNING 1,2004-10-12,Big Eye,4177,23688,DB1-EN152C,2004-10-12
3043,Big Eye,"FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order.",SDJ-018,C Common,,,MONSTER,[Fiend／Flip／Effect],DARK,,1200.0,1000.0,STARTER DECK JOEY,2003-03-30,Big Eye,4177,23001,SDJ-018C,2003-03-30
3044,Big Eye,"FLIP: Look at up to 5 cards from the top of your Deck, then place them on the top of the Deck in any order.",MRD-017,C Common,,,MONSTER,[Fiend／Flip／Effect],DARK,,1200.0,1000.0,METAL RAIDERS,2002-06-26,Big Eye,4177,21779,MRD-017C,2002-06-26
3045,Big Insect,"A giant ant that dwells in the jungle, it is powerful whether attacking or defending.",SS03-ENB03,C Common,,,MONSTER,[Insect／Normal],EARTH,,1200.0,1500.0,SPEED DUEL STARTER DECKS: ULTIMATE PREDATORS,2019-08-02,Big Insect,4055,196269,SS03-ENB03C,2019-08-02
3046,Big Jaws,"At the end of the Battle Phase, if this card attacked: Banish it.",SP13-EN006,C Common,,,MONSTER,[Fish／Effect],WATER,,1800.0,300.0,STAR PACK 2013,2013-03-01,Big Jaws,9622,77480,SP13-EN006C,2013-03-01
3047,Big Jaws,"At the end of the Battle Phase, if this card attacked: Banish it.",SP13-EN006,ST Starfoil,,,MONSTER,[Fish／Effect],WATER,,1800.0,300.0,STAR PACK 2013,2013-03-01,Big Jaws,9622,77532,SP13-EN006ST,2013-03-01
3048,Big Jaws,"At the end of the Battle Phase, if this card attacked: Banish it.",BP01-EN165,C Common,,,MONSTER,[Fish／Effect],WATER,,1800.0,300.0,BATTLE PACK EPIC DAWN,2012-05-28,Big Jaws,9622,59289,BP01-EN165C,2012-05-28
3049,Big Jaws,"At the end of the Battle Phase, if this card attacked: Banish it.",BP01-EN165,ST Starfoil,,,MONSTER,[Fish／Effect],WATER,,1800.0,300.0,BATTLE PACK EPIC DAWN,2012-05-28,Big Jaws,9622,69816,BP01-EN165ST,2012-05-28
3050,Big Jaws,"At the end of the Battle Phase, if this card attacked: Banish it.",GENF-EN005,R Rare,,,MONSTER,[Fish／Effect],WATER,,1800.0,300.0,GENERATION FORCE,2011-08-16,Big Jaws,9622,48024,GENF-EN005R,2011-08-16
3051,Big Koala,"A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful.",IOC-EN004,C Common,,,MONSTER,[Beast／Normal],EARTH,,2700.0,2000.0,INVASION OF CHAOS (LC01 25th Anniversary Edition),2023-04-21,Big Koala,5814,487124,IOC-EN004C,2023-04-21
3052,Big Koala,"A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful.",IOC-EN004,C Common,,,MONSTER,[Beast／Normal],EARTH,,2700.0,2000.0,INVASION OF CHAOS (LC01 25th Anniversary Edition),2023-04-21,Big Koala,5814,476921,IOC-EN004C,2023-04-21
3053,Big Koala,"A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful.",SGX1-ENI02,C Common,,,MONSTER,[Beast／Normal],EARTH,,2700.0,2000.0,SPEED DUEL GX: DUEL ACADEMY BOX,2022-03-18,Big Koala,5814,266324,SGX1-ENI02C,2022-03-18
3054,Big Koala,"A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful.",DR2-EN004,C Common,,,MONSTER,[Beast／Normal],EARTH,,2700.0,2000.0,DARK REVELATION Volume 2,2005-10-20,Big Koala,5814,24625,DR2-EN004C,2005-10-20
3055,Big Koala,"A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful.",IOC-004,C Common,,,MONSTER,[Beast／Normal],EARTH,,2700.0,2000.0,INVASION OF CHAOS,2004-03-01,Big Koala,5814,23091,IOC-004C,2004-03-01
3056,Big Koala,"A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful.",IOC-EN004,C Common,,,MONSTER,[Beast／Normal],EARTH,,2700.0,2000.0,INVASION OF CHAOS,2004-03-01,Big Koala,5814,487124,IOC-EN004C,2004-03-01
3057,Big Koala,"A species of huge Des Koala. He's meek, but people are afraid of him because he's very powerful.",IOC-EN004,C Common,,,MONSTER,[Beast／Normal],EARTH,,2700.0,2000.0,INVASION OF CHAOS,2004-03-01,Big Koala,5814,476921,IOC-EN004C,2004-03-01
3058,Big One Warrior,"During your Main Phase, you can send 1 Level 1 monster, except this card, from your hand to the Graveyard to Special Summon this card from your hand.",DP10-EN015,SR Super Rare,,,MONSTER,[Warrior／Effect],LIGHT,,100.0,600.0,DUELIST PACK - YUSEI 3 -,2011-01-25,Big One Warrior,9237,39211,DP10-EN015SR,2011-01-25
3059,Big Piece Golem,"If your opponent controls a monster and you control no monsters, you can Normal Summon this card without Tributes.",TDGS-EN008,R Rare,,,MONSTER,[Rock／Effect],EARTH,,2100.0,0.0,THE DUELIST GENESIS,2008-09-02,Big Piece Golem,7706,27506,TDGS-EN008R,2008-09-02
3060,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",SBC2-ENA08,C Common,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,SPEED DUEL: BATTLE CITY FINALS,2024-12-13,Big Shield Gardna,4764,600117,SBC2-ENA08C,2024-12-13
3061,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",LEDD-ENA12,C Common,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,LEGENDARY DRAGON DECKS,2017-10-06,Big Shield Gardna,4764,146974,LEDD-ENA12C,2017-10-06
3062,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",LEDD-ENA12,C Common,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,LEGENDARY DRAGON DECKS,2017-10-06,Big Shield Gardna,4764,606233,LEDD-ENA12C,2017-10-06
3063,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",LDK2-ENY16,C Common,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,LEGENDARY DECKS II,2016-10-07,Big Shield Gardna,4764,123499,LDK2-ENY16C,2016-10-07
3064,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",LDK2-ENY16,C Common,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,LEGENDARY DECKS II,2016-10-07,Big Shield Gardna,4764,543144,LDK2-ENY16C,2016-10-07
3065,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",YGLD-ENB14,C Common,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,YUGI'S LEGENDARY DECKS,2015-11-13,Big Shield Gardna,4764,108257,YGLD-ENB14C,2015-11-13
3066,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",YGLD-ENB14,C Common,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,YUGI'S LEGENDARY DECKS,2015-11-13,Big Shield Gardna,4764,615970,YGLD-ENB14C,2015-11-13
3067,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",BP02-EN032,C Common,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,BATTLE PACK 2 WAR OF THE GIANTS,2013-06-28,Big Shield Gardna,4764,69291,BP02-EN032C,2013-06-28
3068,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",BP02-EN032,MR Mosaic Rare,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,BATTLE PACK 2 WAR OF THE GIANTS,2013-06-28,Big Shield Gardna,4764,69506,BP02-EN032MR,2013-06-28
3069,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",LCYW-EN032,SE Secret Rare,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,LEGENDARY COLLECTION 3 YUGI'S WORLD MEGA PACK,2012-10-02,Big Shield Gardna,4764,66832,LCYW-EN032SE,2012-10-02
3070,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",BP01-EN176,C Common,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,BATTLE PACK EPIC DAWN,2012-05-28,Big Shield Gardna,4764,59300,BP01-EN176C,2012-05-28
3071,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",BP01-EN176,ST Starfoil,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,BATTLE PACK EPIC DAWN,2012-05-28,Big Shield Gardna,4764,69827,BP01-EN176ST,2012-05-28
3072,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",DL09-EN004,R Rare,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,DUELIST LEAGUE 2010,2009-08-01,Big Shield Gardna,4764,77360,DL09-EN004R,2009-08-01
3073,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",DL09-EN004,R Rare,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,DUELIST LEAGUE 2010,2009-08-01,Big Shield Gardna,4764,77686,DL09-EN004R,2009-08-01
3074,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",DL09-EN004,R Rare,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,DUELIST LEAGUE 2010,2009-08-01,Big Shield Gardna,4764,77688,DL09-EN004R,2009-08-01
3075,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",DL09-EN004,R Rare,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,DUELIST LEAGUE 2010,2009-08-01,Big Shield Gardna,4764,77687,DL09-EN004R,2009-08-01
3076,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",DPYG-EN009,C Common,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,DUELIST PACK - YUGI -,2009-07-07,Big Shield Gardna,4764,32975,DPYG-EN009C,2009-07-07
3077,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",CP01-EN006,R Rare,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,CHAMPION PACK GAME ONE,2006-11-11,Big Shield Gardna,4764,26061,CP01-EN006R,2006-11-11
3078,Big Shield Gardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",TP5-EN002,SR Super Rare,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,TOURNAMENT PACK 5,2004-11-01,Big Shield Gardna,4764,24179,TP5-EN002SR,2004-11-01
3079,Big Shield Guardna,"When a Spell Card is activated that targets this face-down card (and no other cards) (Quick Effect): Change this card to face-up Defense Position, and if you do, negate the activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.",DB1-EN097,UR Ultra Rare,,,MONSTER,[Warrior／Effect],EARTH,,100.0,2600.0,DARK BEGINNING 1,2004-10-12,Big Shield Gardna,4764,23633,DB1-EN097UR,2004-10-12
3080,Big Wave Small Wave,"Destroy as many WATER monsters you control as possible, then you can Special Summon WATER monsters from your hand, up to the number of monsters destroyed by this effect.",SBC1-ENC15,C Common,,,SPELL,,,,,,SPEED DUEL: STREETS OF BATTLE CITY,2023-08-25,Big Wave Small Wave,6137,512284,SBC1-ENC15C,2023-08-25
3081,Big Wave Small Wave,"Destroy as many WATER monsters you control as possible, then you can Special Summon WATER monsters from your hand, up to the number of monsters destroyed by this effect.",SBAD-EN032,C Common,,,SPELL,,,,,,SPEED DUEL: ATTACK FROM THE DEEP,2019-05-31,Big Wave Small Wave,6137,190916,SBAD-EN032C,2019-05-31
3082,Big Wave Small Wave,"Destroy as many WATER monsters you control as possible, then you can Special Summon WATER monsters from your hand, up to the number of monsters destroyed by this effect.",SDRE-EN032,C Common,,,SPELL,,,,,,REALM OF THE SEA EMPEROR STRUCTURE DECK,2012-10-16,Big Wave Small Wave,6137,67150,SDRE-EN032C,2012-10-16
3083,Big Wave Small Wave,"Destroy as many WATER monsters you control as possible, then you can Special Summon WATER monsters from your hand, up to the number of monsters destroyed by this effect.",DR3-EN046,C Common,,,SPELL,,,,,,DARK REVELATION Volume 3,2006-11-25,Big Wave Small Wave,6137,25841,DR3-EN046C,2006-11-25
3084,Big Wave Small Wave,"Destroy as many WATER monsters you control as possible, then you can Special Summon WATER monsters from your hand, up to the number of monsters destroyed by this effect.",SD4-EN025,C Common,,,SPELL,,,,,,STRUCTURE DECK FURY FROM THE DEEP,2005-05-09,Big Wave Small Wave,6137,24170,SD4-EN025C,2005-05-09
3085,Big Wave Small Wave,"Destroy as many WATER monsters you control as possible, then you can Special Summon WATER monsters from your hand, up to the number of monsters destroyed by this effect.",SOD-EN046,C Common,,,SPELL,,,,,,SOUL OF THE DUELIST,2004-10-01,Big Wave Small Wave,6137,23391,SOD-EN046C,2004-10-01
3086,Big Welcome Labrynth,"Special Summon 1 ""Labrynth"" monster from your hand, Deck, or GY, then return 1 monster you control to the hand. You can banish this card from your GY, then target 1 Fiend monster you control, or, if you control a Level 8 or higher Fiend monster, you can target 1 card your opponent controls instead; return that card to the hand. You can only use 1 ""Big Welcome Labrynth"" effect per turn, and only once that turn.",RA04-EN104,SR Super Rare,,,TRAP,,,,,,QUARTER CENTURY STAMPEDE,2025-04-11,Big Welcome Labrynth,18222,627257,RA04-EN104SR,2025-04-11
3087,Big Welcome Labrynth,"Special Summon 1 ""Labrynth"" monster from your hand, Deck, or GY, then return 1 monster you control to the hand. You can banish this card from your GY, then target 1 Fiend monster you control, or, if you control a Level 8 or higher Fiend monster, you can target 1 card your opponent controls instead; return that card to the hand. You can only use 1 ""Big Welcome Labrynth"" effect per turn, and only once that turn.",RA04-EN104,UR Ultra Rare,,,TRAP,,,,,,QUARTER CENTURY STAMPEDE,2025-04-11,Big Welcome Labrynth,18222,627259,RA04-EN104UR,2025-04-11
3088,Big Welcome Labrynth,"Special Summon 1 ""Labrynth"" monster from your hand, Deck, or GY, then return 1 monster you control to the hand. You can banish this card from your GY, then target 1 Fiend monster you control, or, if you control a Level 8 or higher Fiend monster, you can target 1 card your opponent controls instead; return that card to the hand. You can only use 1 ""Big Welcome Labrynth"" effect per turn, and only once that turn.",RA04-EN104,SE Secret Rare,,,TRAP,,,,,,QUARTER CENTURY STAMPEDE,2025-04-11,Big Welcome Labrynth,18222,627256,RA04-EN104SE,2025-04-11
3089,Big Welcome Labrynth,"Special Summon 1 ""Labrynth"" monster from your hand, Deck, or GY, then return 1 monster you control to the hand. You can banish this card from your GY, then target 1 Fiend monster you control, or, if you control a Level 8 or higher Fiend monster, you can target 1 card your opponent controls instead; return that card to the hand. You can only use 1 ""Big Welcome Labrynth"" effect per turn, and only once that turn.",RA04-EN104,PS Platinum Secret Rare,,,TRAP,,,,,,QUARTER CENTURY STAMPEDE,2025-04-11,Big Welcome Labrynth,18222,627254,RA04-EN104PS,2025-04-11
3090,Big Welcome Labrynth,"Special Summon 1 ""Labrynth"" monster from your hand, Deck, or GY, then return 1 monster you control to the hand. You can banish this card from your GY, then target 1 Fiend monster you control, or, if you control a Level 8 or higher Fiend monster, you can target 1 card your opponent controls instead; return that card to the hand. You can only use 1 ""Big Welcome Labrynth"" effect per turn, and only once that turn.",RA04-EN104,QCSE Quarter Century Secret Rare,,,TRAP,,,,,,QUARTER CENTURY STAMPEDE,2025-04-11,Big Welcome Labrynth,18222,627255,RA04-EN104QCSE,2025-04-11
3091,Big Welcome Labrynth,"Special Summon 1 ""Labrynth"" monster from your hand, Deck, or GY, then return 1 monster you control to the hand. You can banish this card from your GY, then target 1 Fiend monster you control, or, if you control a Level 8 or higher Fiend monster, you can target 1 card your opponent controls instead; return that card to the hand. You can only use 1 ""Big Welcome Labrynth"" effect per turn, and only once that turn.",MP24-EN074,PSE Prismatic Secret Rare,,,TRAP,,,,,,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,Big Welcome Labrynth,18222,579548,MP24-EN074PSE,2024-09-20
