set_id,set_name,set_release,join_id,card_set_id
TP1-002,TOURNAMENT PACK 1ST SEASON,2002-09-01,TP1-002SR,1892
BP03-EN103,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,BP03-EN103R,1893
SP14-EN016,STAR PACK 2014,2014-02-21,SP14-EN016C,1894
BP02-EN123,BATTLE PACK 2 WAR OF THE GIANTS,2013-06-28,BP02-EN123C,1895
HA07-EN036,HIDDEN ARSENAL 7 KNIGHT OF STARS,2013-04-26,HA07-EN036SR,1896
ANGU-EN054,ANCIENT　GUARDIANS,2021-05-07,ANGU-EN054R,1897
DLCS-EN022,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,DLCS-EN022C,1898
BP03-EN183,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,BP03-EN183C,1899
DRLG-EN020,DRAGONS OF LEGEND,2014-04-25,DRLG-EN020SR,1900
ALIN-EN035,ALLIANCE INSIGHT,2025-05-02,ALIN-EN035SR,1901
SUDA-EN070,SUPREME DARKNESS,2025-01-24,SUDA-EN070C,1902
MP25-EN417,2025 MEGA-PACK TIN,2025-09-05,MP25-EN417C,1903
ROTA-EN054,RAGE OF THE ABYSS,2024-10-11,ROTA-EN054SR,1904
MP25-EN426,2025 MEGA-PACK TIN,2025-09-05,MP25-EN426C,1905
ROTA-EN073,RAGE OF THE ABYSS,2024-10-11,ROTA-EN073C,1906
MP25-EN103,2025 MEGA-PACK TIN,2025-09-05,MP25-EN103PSE,1907
25LP-EN010,LIMITED PACK WORLD CHAMPIONSHIP 2025,2025-09-04,25LP-EN010UR,1908
OP28-EN003,OTS TOURNAMENT PACK 28,2025-06-18,OP28-EN003UL,1909
ROTA-EN030,RAGE OF THE ABYSS,2024-10-11,ROTA-EN030SR,1910
MP25-EN105,2025 MEGA-PACK TIN,2025-09-05,MP25-EN105PSE,1911
ROTA-EN033,RAGE OF THE ABYSS,2024-10-11,ROTA-EN033UR,1912
MP25-EN104,2025 MEGA-PACK TIN,2025-09-05,MP25-EN104PSE,1913
25LP-EN011,LIMITED PACK WORLD CHAMPIONSHIP 2025,2025-09-04,25LP-EN011UR,1914
ROTA-EN031,RAGE OF THE ABYSS,2024-10-11,ROTA-EN031UR,1915
ROTA-EN032,RAGE OF THE ABYSS,2024-10-11,ROTA-EN032C,1916
BP03-EN041,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,BP03-EN041R,1917
PTDN-EN089,PHANTOM DARKNESS,2008-02-13,PTDN-EN089R,1918
RA04-EN208,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN208PS,1919
SDWD-EN039,STRUCTURE DECK: BLUE-EYES WHITE DESTINY,2025-02-14,SDWD-EN039C,1920
LCKC-EN066,LEGENDARY COLLECTION KAIBA MEGA PACK,2018-03-09,LCKC-EN066SE,1921
LDK2-ENK39,LEGENDARY DECKS II,2016-10-07,LDK2-ENK39C,1922
SDBE-EN040,SAGA OF BLUE-EYES WHITE DRAGON STRUCTURE DECK,2013-09-13,SDBE-EN040UR,1923
LCKC-EN020,LEGENDARY COLLECTION KAIBA MEGA PACK,2018-03-09,LCKC-EN020SE,1924
MACR-EN062,MAXIMUM CRISIS,2017-05-05,MACR-EN062C,1925
OP04-EN016,OTS TOURNAMENT PACK 4,2017-04-07,OP04-EN016C,1926
DR3-EN090,DARK REVELATION Volume 3,2006-11-25,DR3-EN090SR,1927
RDS-EN030,RISE OF DESTINY,2004-12-01,RDS-EN030SR,1928
CRMS-EN030,CRIMSON CRISIS,2009-03-03,CRMS-EN030R,1929
MACR-EN032,MAXIMUM CRISIS,2017-05-05,MACR-EN032R,1930
MP20-EN111,2020 TIN OF LOST MEMORIES,2020-08-28,MP20-EN111C,1931
RIRA-EN023,RISING RAMPAGE,2019-07-27,RIRA-EN023SR,1932
DR04-EN133,DARK REVELATION Volume 4,2007-11-14,DR04-EN133SR,1933
SOI-EN013,SHADOW OF INFINITY,2006-02-18,SOI-EN013SR,1934
DR04-EN021,DARK REVELATION Volume 4,2007-11-14,DR04-EN021SR,1935
CP03-EN015,CHAMPION PACK GAME THREE,2007-05-15,CP03-EN015C,1936
CRV-EN021,CYBERNETIC REVOLUTION,2005-08-06,CRV-EN021SR,1937
DR04-EN077,DARK REVELATION Volume 4,2007-11-14,DR04-EN077SR,1938
EEN-EN017,ELEMENTAL ENERGY,2005-11-05,EEN-EN017SR,1939
RIRA-EN050,RISING RAMPAGE,2019-07-27,RIRA-EN050C,1940
SBC1-ENB09,SPEED DUEL: STREETS OF BATTLE CITY,2023-08-25,SBC1-ENB09C,1941
MRD-EN061,METAL RAIDERS (LC01 25th Anniversary Edition),2023-04-21,MRD-EN061C,1942
SS02-ENB06,SPEED DUEL STARTER DECK: DUELISTS OF TOMORROW,2019-01-25,SS02-ENB06C,1943
LDK2-ENJ09,LEGENDARY DECKS II,2016-10-07,LDK2-ENJ09C,1944
LCJW-EN006,LEGENDARY COLLECTION 4 JOEY'S WORLD MEGA PACK,2013-10-11,LCJW-EN006SR,1945
DLG1-EN035,DARK LEGENDS,2008-11-21,DLG1-EN035C,1946
RP01-EN034,RETRO PACK,2008-07-08,RP01-EN034C,1947
DB2-EN035,DARK BEGINNING 2,2005-07-27,DB2-EN035C,1948
SDJ-003,STARTER DECK JOEY,2003-03-30,SDJ-003C,1949
MRD-061,METAL RAIDERS,2002-06-26,MRD-061C,1950
MP22-EN172,2022 TIN OF THE PHARAOH'S GODS,2022-09-16,MP22-EN172UR,1951
DAMA-EN081,DAWN OF MAJESTY,2021-08-13,DAMA-EN081C,1952
OP22-EN005,OTS TOURNAMENT PACK 22,2023-07-19,OP22-EN005SR,1953
MP14-EN136,2014 MEGA-TINS MEGA PACK,2014-08-29,MP14-EN136C,1954
SHSP-EN014,SHADOW SPECTERS,2013-11-08,SHSP-EN014C,1955
MP14-EN137,2014 MEGA-TINS MEGA PACK,2014-08-29,MP14-EN137C,1956
SHSP-EN015,SHADOW SPECTERS,2013-11-08,SHSP-EN015C,1957
BLMR-EN045,BATTLES OF LEGEND: MONSTROUS REVENGE,2023-06-23,BLMR-EN045UR,1958
NUMH-EN051,NUMBER HUNTERS,2013-07-12,NUMH-EN051SR,1959
SP13-EN027,STAR PACK 2013,2013-03-01,SP13-EN027C,1960
PHSW-EN038,PHOTON SHOCKWAVE,2011-11-15,PHSW-EN038R,1961
RA04-EN131,QUARTER CENTURY STAMPEDE,2025-04-11,RA04-EN131PS,1962
SGX4-ENC05,SPEED DUEL GX: MIDTERM DESTRUCTION,2024-03-29,SGX4-ENC05C,1963
WISU-EN013,WILD SURVIVORS,2023-06-02,WISU-EN013R,1964
OP18-EN005,OTS TOURNAMENT PACK 18,2022-02-23,OP18-EN005SR,1965
SR04-EN013,DINOSMASHER’S FURY STRUCTURE DECK,2017-04-14,SR04-EN013C,1966
LCJW-EN157,LEGENDARY COLLECTION 4 JOEY'S WORLD MEGA PACK,2013-10-11,LCJW-EN157C,1967
DL13-EN012,DUELIST LEAGUE 13,2011-12-01,DL13-EN012R,1968
SD09-EN016,STRUCTURE DECK DINOSAUR'S RAGE,2006-10-20,SD09-EN016C,1969
POTD-EN022,POWER OF THE DUELIST,2006-08-16,POTD-EN022C,1970
MP25-EN188,2025 MEGA-PACK TIN,2025-09-05,MP25-EN188UR,1971
25LP-EN006,LIMITED PACK WORLD CHAMPIONSHIP 2025,2025-09-04,25LP-EN006UR,1972
LEDE-EN035,LEGACY OF DESTRUCTION,2024-04-26,LEDE-EN035C,1973
LTGY-EN001,LORD OF THE TACHYON GALAXY,2013-05-17,LTGY-EN001C,1974
BPW2-EN072,BATTLE PACK 2 WAR OF THE GIANTS ROUND 2,2014-01-17,BPW2-EN072SR,1975
DR3-EN104,DARK REVELATION Volume 3,2006-11-25,DR3-EN104C,1976
RDS-EN044,RISE OF DESTINY,2004-12-01,RDS-EN044C,1977
STAS-EN040,2-PLAYER STARTER SET,2024-01-26,STAS-EN040C,1978
SDAZ-EN036,STRUCTURE DECK: ALBAZ STRIKE,2022-04-15,SDAZ-EN036C,1979
EGS1-EN038,EGYPTIAN GOD DECK: SLIFER THE SKY DRAGON,2021-06-18,EGS1-EN038C,1980
SR10-EN036,STRUCTURE DECK: MECHANIZED MADNESS,2020-04-17,SR10-EN036C,1981
MP18-EN087,2018 MEGA-TINS MEGA PACK,2018-08-31,MP18-EN087R,1982
COTD-EN077,CODE OF THE DUELIST,2017-08-04,COTD-EN077R,1983
STAS-EN010,2-PLAYER STARTER SET,2024-01-26,STAS-EN010C,1984
MP16-EN087,2016 MEGA-TINS MEGA PACK,2016-09-02,MP16-EN087C,1985
YS16-EN030,STARTER DECK YUYA,2016-05-27,YS16-EN030C,1986
CORE-EN064,CLASH OF REBELLIONS,2015-08-07,CORE-EN064C,1987
SDSB-EN038,STRUCTURE DECK: SOULBURNER,2019-02-15,SDSB-EN038C,1988
SDOK-EN031,ONSLAUGHT OF THE FIRE KINGS STRUCTURE DECK,2013-02-08,SDOK-EN031C,1989
DR2-EN158,DARK REVELATION Volume 2,2005-10-20,DR2-EN158C,1990
SD3-EN031,STRUCTURE DECK BLAZE OF DESTRUCTION,2005-05-09,SD3-EN031C,1991
AST-046,ANCIENT SANCTUARY,2004-06-01,AST-046C,1992
MP19-EN008,2019 GOLD SARCOPHAGUS TIN MEGA PACK,2019-08-30,MP19-EN008C,1993
SDRR-EN015,STRUCTURE DECK: ROKKET REVOLT,2019-08-16,SDRR-EN015C,1994
FLOD-EN012,FLAMES OF DESTRUCTION,2018-05-04,FLOD-EN012C,1995
SP18-EN010,STAR PACK: VRAINS,2018-03-30,SP18-EN010C,1996
SDCL-EN004,STRUCTURE DECK : CYBERSE LINK,2017-11-03,SDCL-EN004C,1997
SPWA-EN053,SPIRIT WARRIORS,2017-11-17,SPWA-EN053SR,1998
FOTB-EN052,FORCE OF THE BREAKER,2007-05-16,FOTB-EN052C,1999
ALIN-EN002,ALLIANCE INSIGHT,2025-05-02,ALIN-EN002UR,2000
MP19-EN002,2019 GOLD SARCOPHAGUS TIN MEGA PACK,2019-08-30,MP19-EN002C,2001
FLOD-EN003,FLAMES OF DESTRUCTION,2018-05-04,FLOD-EN003R,2002
GFTP-EN088,GHOSTS FROM THE PAST,2021-04-16,GFTP-EN088UR,2003
GEIM-EN049,GENESIS IMPACT,2020-12-03,GEIM-EN049R,2004
MP18-EN031,2018 MEGA-TINS MEGA PACK,2018-08-31,MP18-EN031C,2005
YS18-EN008,STARTER DECK CODEBREAKER,2018-07-13,YS18-EN008C,2006
SP18-EN002,STAR PACK: VRAINS,2018-03-30,SP18-EN002C,2007
SDCL-EN010,STRUCTURE DECK : CYBERSE LINK,2017-11-03,SDCL-EN010C,2008
COTD-EN002,CODE OF THE DUELIST,2017-08-04,COTD-EN002C,2009
PSV-EN028,PHARAOH'S SERVANT (LC01 25th Anniversary Edition),2023-04-21,PSV-EN028SR,2010
LDK2-ENY39,LEGENDARY DECKS II,2016-10-07,LDK2-ENY39C,2011
5DS1-EN035,5D's STARTER DECK 2008,2008-08-05,5DS1-EN035C,2012
DB1-EN082,DARK BEGINNING 1,2004-10-12,DB1-EN082C,2013
SYE-047,STARTER DECK YUGI Evolution,2004-03-01,SYE-047C,2014
PSV-028,PHARAOH'S SERVANT,2002-10-20,PSV-028SR,2015
SGX3-ENG13,SPEED DUEL GX: DUELISTS OF SHADOWS,2023-03-31,SGX3-ENG13C,2016
SS04-ENA27,SPEED DUEL STARTER DECKS: MATCH OF THE MILLENNIUM,2020-05-15,SS04-ENA27C,2017
MP18-EN145,2018 MEGA-TINS MEGA PACK,2018-08-31,MP18-EN145R,2018
CIBR-EN065,CIRCUIT BREAK,2017-10-20,CIBR-EN065R,2019
DUPO-EN015,DUEL POWER,2019-04-03,DUPO-EN015UR,2020
DIFO-EN085,DIMENSION FORCE,2022-05-20,DIFO-EN085C,2021
BP01-EN159,BATTLE PACK EPIC DAWN,2012-05-28,BP01-EN159C,2022
BP02-EN119,BATTLE PACK 2 WAR OF THE GIANTS,2013-06-28,BP02-EN119C,2023
CBLZ-EN003,COSMO BLAZER,2013-01-25,CBLZ-EN003C,2024
MP17-EN044,2017 MEGA-TINS MEGA PACK,2017-08-25,MP17-EN044C,2025
SHVI-EN078,SHINING VICTORIES,2016-05-06,SHVI-EN078C,2026
MP16-EN232,2016 MEGA-TINS MEGA PACK,2016-09-02,MP16-EN232C,2027
BOSH-EN080,BREAKERS OF SHADOW,2016-01-15,BOSH-EN080C,2028
DB2-EN202,DARK BEGINNING 2,2005-07-27,DB2-EN202C,2029
LOD-093,LEGACY OF DARKNESS,2003-06-06,LOD-093C,2030
WISU-EN034,WILD SURVIVORS,2023-06-02,WISU-EN034SR,2031
MP22-EN069,2022 TIN OF THE PHARAOH'S GODS,2022-09-16,MP22-EN069R,2032
LIOV-EN023,LIGHTNING OVERDRIVE,2021-06-04,LIOV-EN023SE,2033
MP24-EN036,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,MP24-EN036QCSE,2034
LED9-EN011,LEGENDARY DUELISTS: DUELS FROM THE DEEP,2022-06-17,LED9-EN011R,2035
OP13-EN009,OTS TOURNAMENT PACK 13,2020-06-15,OP13-EN009SR,2036
PGL3-EN069,PREMIUM GOLD: INFINITE GOLD,2016-03-18,PGL3-EN069GR,2037
ABYR-EN099,ABYSS RISING,2012-11-09,ABYR-EN099SE,2038
BP01-EN071,BATTLE PACK EPIC DAWN,2012-05-28,BP01-EN071C,2039
LON-096,LABYRINTH OF NIGHTMARE,2003-03-01,LON-096C,2040
MP23-EN168,25TH ANNIVERSARY TIN: DUELING HEROES MEGA PACK,2023-09-08,MP23-EN168C,2041
DABL-EN017,DARKWING BLAST,2022-10-21,DABL-EN017SR,2042
WISU-EN033,WILD SURVIVORS,2023-06-02,WISU-EN033SR,2043
MP16-EN094,2016 MEGA-TINS MEGA PACK,2016-09-02,MP16-EN094C,2044
CORE-EN078,CLASH OF REBELLIONS,2015-08-07,CORE-EN078C,2045
MYFI-EN047,MYSTIC FIGHTERS,2019-11-22,MYFI-EN047SR,2046
SDCL-EN005,STRUCTURE DECK : CYBERSE LINK,2017-11-03,SDCL-EN005C,2047
DR3-EN106,DARK REVELATION Volume 3,2006-11-25,DR3-EN106C,2048
RDS-EN046,RISE OF DESTINY,2004-12-01,RDS-EN046C,2049
MP19-EN132,2019 GOLD SARCOPHAGUS TIN MEGA PACK,2019-08-30,MP19-EN132C,2050
CYHO-EN077,CYBERNETIC HORIZON,2018-07-27,CYHO-EN077C,2051
IOC-EN072,INVASION OF CHAOS (LC01 25th Anniversary Edition),2023-04-21,IOC-EN072C,2052
DR2-EN073,DARK REVELATION Volume 2,2005-10-20,DR2-EN073C,2053
IOC-072,INVASION OF CHAOS,2004-03-01,IOC-072C,2054
CSOC-EN075,CROSSROADS OF CHAOS,2008-11-18,CSOC-EN075C,2055
SRL-EN078,SPELL RULER (LC01 25th Anniversary Edition),2023-04-21,SRL-EN078SR,2056
SBCB-EN171,Speed Duel: Battle City Box,2020-11-26,SBCB-EN171C,2057
LCYW-EN231,LEGENDARY COLLECTION 3 YUGI'S WORLD MEGA PACK,2012-10-02,LCYW-EN231C,2058
DB1-EN044,DARK BEGINNING 1,2004-10-12,DB1-EN044C,2059
MRL-078,SPELL RULER,2002-09-16,MRL-078SR,2060
STP6-EN003,SPEED DUEL TOURNAMENT PACK 6,2023-09-06,STP6-EN003UR,2061
SGX3-ENF09,SPEED DUEL GX: DUELISTS OF SHADOWS,2023-03-31,SGX3-ENF09C,2062
SBCB-EN179,Speed Duel: Battle City Box,2020-11-26,SBCB-EN179C,2063
LCGX-EN225,LEGENDARY COLLECTION 2 THE DUEL ACADEMY YEARS MEGA PACK,2011-10-04,LCGX-EN225SE,2064
SDDE-EN016,THE DARK EMPEROR STRUCTURE DECK,2008-04-02,SDDE-EN016C,2065
DR04-EN202,DARK REVELATION Volume 4,2007-11-14,DR04-EN202SR,2066
EOJ-EN022,ENEMY OF JUSTICE,2006-05-17,EOJ-EN022R,2067
MP24-EN224,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,MP24-EN224UR,2068
DUNE-EN077,DUELIST NEXUS,2023-07-28,DUNE-EN077SR,2069
BLRR-EN093,BATTLES OF LEGEND: RELENTLESS REVENGE,2018-06-29,BLRR-EN093UR,2070
DESO-EN034,DESTINY SOLDIERS,2016-11-18,DESO-EN034SE,2071
YS15-ENL21,STARTER DECK DARK LEGION (US),2015-05-29,YS15-ENL21C,2072
BP03-EN147,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,BP03-EN147C,2073
YS11-EN028,STARTER DECK DAWN OF THE XYZ,2011-07-12,YS11-EN028C,2074
5DS3-EN024,5D's STARTER DECK DUELIST TOOLBOX,2010-06-01,5DS3-EN024C,2075
YSDJ-EN025,STARTER DECK JADEN YUKI,2007-07-25,YSDJ-EN025C,2076
DR1-EN037,DARK REVELATION Volume 1,2005-03-19,DR1-EN037C,2077
PGD-089,PHARAONIC GUARDIAN,2003-07-18,PGD-089C,2078
PHRA-EN079,PHANTOM RAGE,2020-11-06,PHRA-EN079C,2079
MP18-EN009,2018 MEGA-TINS MEGA PACK,2018-08-31,MP18-EN009C,2080
MACR-EN034,MAXIMUM CRISIS,2017-05-05,MACR-EN034C,2081
RATE-ENSE4,RAGING TEMPEST SPECIAL EDITION,2017-03-17,RATE-ENSE4SR,2082
PGL3-EN054,PREMIUM GOLD: INFINITE GOLD,2016-03-18,PGL3-EN054GR,2083
CROS-EN083,CROSSED SOULS,2015-05-15,CROS-EN083R,2084
SP13-EN045,STAR PACK 2013,2013-03-01,SP13-EN045C,2085
YG08-EN001,Yu-Gi-Oh! GX volume 8 Promotional Card,2012-01-03,YG08-EN001UR,2086
MP24-EN263,25TH ANNIVERSARY TIN: DUELING MIRRORS,2024-09-20,MP24-EN263UR,2087
MAZE-EN022,MAZE OF MEMORIES,2023-03-10,MAZE-EN022R,2088
LED9-EN005,LEGENDARY DUELISTS: DUELS FROM THE DEEP,2022-06-17,LED9-EN005SR,2089
SGX3-ENE20,SPEED DUEL GX: DUELISTS OF SHADOWS,2023-03-31,SGX3-ENE20C,2090
SBCB-EN124,Speed Duel: Battle City Box,2020-11-26,SBCB-EN124C,2091
BP03-EN191,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,BP03-EN191C,2092
TU04-EN010,TURBO PACK BOOSTER FOUR,2010-11-19,TU04-EN010R,2093
DB2-EN132,DARK BEGINNING 2,2005-07-27,DB2-EN132C,2094
LOD-010,LEGACY OF DARKNESS,2003-06-06,LOD-010C,2095
STBL-EN052,STARSTRIKE BLAST,2010-11-16,STBL-EN052C,2096
CYAC-EN097,CYBERSTORM ACCESS,2023-05-05,CYAC-EN097SR,2097
SDY-036,STARTER DECK YUGI,2002-03-29,SDY-036C,2098
RA01-EN034,25TH ANNIVERSARY RARITY COLLECTION,2023-11-03,RA01-EN034SR,2099
MAZE-EN051,MAZE OF MEMORIES,2023-03-10,MAZE-EN051UR,2100
LED8-EN024,LEGENDARY DUELISTS: SYNCHRO STORM,2021-10-29,LED8-EN024UR,2101
BLTR-EN082,BATTLES OF LEGEND: TERMINAL REVENGE,2024-06-21,BLTR-EN082UR,2102
AP02-EN018,ASTRAL PACK TWO,2013-04-19,AP02-EN018C,2103
LDS2-EN126,LEGENDARY DUELISTS: SEASON 2,2021-01-22,LDS2-EN126C,2104
LED4-EN038,LEGENDARY DUELISTS: SISTERS OF THE ROSE,2019-01-11,LED4-EN038UR,2105
SBC1-ENI20,SPEED DUEL: STREETS OF BATTLE CITY,2023-08-25,SBC1-ENI20C,2106
RP02-EN080,RETRO PACK 2,2009-07-28,RP02-EN080C,2107
DR1-EN043,DARK REVELATION Volume 1,2005-03-19,DR1-EN043R,2108
PGD-095,PHARAONIC GUARDIAN,2003-07-18,PGD-095SR,2109
MRD-EN126,METAL RAIDERS (LC01 25th Anniversary Edition),2023-04-21,MRD-EN126UR,2110
LART-EN037,The Lost Art Promotion 6,2021-12-10,LART-EN037UR,2111
LDS1-EN075,LEGENDARY DUELISTS: SEASON 1,2020-07-03,LDS1-EN075C,2112
STP2-EN003,SPEED DUEL TOURNAMENT PACK 02,2019-10-11,STP2-EN003UR,2113
SBSC-EN026,SPEED DUEL: SCARS OF BATTLE,2019-08-02,SBSC-EN026SR,2114
LED2-EN019,LEGENDARY DUELISTS: ANCIENT MILLENNIUM,2018-02-23,LED2-EN019C,2115
DPBC-EN041,DUELIST PACK - BATTLE CITY -,2015-06-19,DPBC-EN041R,2116
LCJW-EN177,LEGENDARY COLLECTION 4 JOEY'S WORLD MEGA PACK,2013-10-11,LCJW-EN177C,2117
DLG1-EN045,DARK LEGENDS,2008-11-21,DLG1-EN045R,2118
RP01-EN044,RETRO PACK,2008-07-08,RP01-EN044R,2119
DB2-EN072,DARK BEGINNING 2,2005-07-27,DB2-EN072UR,2120
MRD-126,METAL RAIDERS,2002-06-26,MRD-126UR,2121
OP15-EN006,OTS TOURNAMENT PACK 15,2021-02-05,OP15-EN006SR,2122
MP20-EN140,2020 TIN OF LOST MEMORIES,2020-08-28,MP20-EN140R,2123
RIRA-EN081,RISING RAMPAGE,2019-07-27,RIRA-EN081C,2124
MP25-EN170,2025 MEGA-PACK TIN,2025-09-05,MP25-EN170UR,2125
PHNI-EN067,PHANTOM NIGHTMARE,2024-02-09,PHNI-EN067SR,2126
STAS-EN021,2-PLAYER STARTER SET,2024-01-26,STAS-EN021C,2127
LC5D-EN066,LEGENDARY COLLECTION 5D's MEGA PACK,2014-10-24,LC5D-EN066C,2128
STOR-EN006,STORM OF RAGNAROK,2011-02-08,STOR-EN006C,2129
CDIP-EN018,CYBERDARK IMPACT,2006-11-15,CDIP-EN018C,2130
CDIP-EN022,CYBERDARK IMPACT,2006-11-15,CDIP-EN022C,2131
CDIP-EN023,CYBERDARK IMPACT,2006-11-15,CDIP-EN023C,2132
OP04-EN018,OTS TOURNAMENT PACK 4,2017-04-07,OP04-EN018C,2133
CDIP-EN020,CYBERDARK IMPACT,2006-11-15,CDIP-EN020C,2134
CDIP-EN021,CYBERDARK IMPACT,2006-11-15,CDIP-EN021C,2135
OP04-EN017,OTS TOURNAMENT PACK 4,2017-04-07,OP04-EN017C,2136
CDIP-EN019,CYBERDARK IMPACT,2006-11-15,CDIP-EN019C,2137
DREV-EN068,DUELIST REVOLUTION,2010-08-17,DREV-EN068C,2138
MP22-EN094,2022 TIN OF THE PHARAOH'S GODS,2022-09-16,MP22-EN094C,2139
OP17-EN012,OTS TOURNAMENT PACK 17,2021-10-06,OP17-EN012SR,2140
LIOV-EN059,LIGHTNING OVERDRIVE,2021-06-04,LIOV-EN059C,2141
SBC2-ENF16,SPEED DUEL: BATTLE CITY FINALS,2024-12-13,SBC2-ENF16C,2142
STP3-EN028,SPEED DUEL TOURNAMENT PACK 3,2022-03-10,STP3-EN028C,2143
SBTK-EN037,SPEED DUEL: TRIALS OF THE KINGDOM,2019-12-06,SBTK-EN037SR,2144
DEM3-EN016,DEMO DECK 2016 (UK),2016-01-14,DEM3-EN016C,2145
BP03-EN186,BATTLE PACK 3 MONSTER LEAGUE,2014-08-01,BP03-EN186C,2146
LOB-EN008,LEGEND OF BLUE EYES WHITE DRAGON (LC01 25th Anniversary Edition),2023-04-21,LOB-EN008C,2147
SS03-ENB04,SPEED DUEL STARTER DECKS: ULTIMATE PREDATORS,2019-08-02,SS03-ENB04C,2148
LOB-008,LEGEND OF BLUE EYES WHITE DRAGON,2002-03-08,LOB-008C,2149
MP20-EN235,2020 TIN OF LOST MEMORIES,2020-08-28,MP20-EN235C,2150
INCH-EN030,THE INFINITY CHASERS,2019-03-22,INCH-EN030SR,2151
PHHY-EN019,PHOTON HYPERNOVA,2023-02-10,PHHY-EN019C,2152
BLMM-EN034,BATTLES OF LEGEND: MONSTER MAYHEM (Americas only),2025-06-13,BLMM-EN034UR,2153
DR3-EN221,DARK REVELATION Volume 3,2006-11-25,DR3-EN221C,2154
TLM-EN041,THE LOST MILLENNIUM,2005-06-01,TLM-EN041C,2155
DUEA-EN038,DUELIST ALLIANCE,2014-08-15,DUEA-EN038C,2156
CP06-EN013,CHAMPION PACK GAME SIX,2008-05-12,CP06-EN013C,2157
DR3-EN210,DARK REVELATION Volume 3,2006-11-25,DR3-EN210C,2158
TLM-EN030,THE LOST MILLENNIUM,2005-06-01,TLM-EN030C,2159
TSHD-EN034,THE SHINING DARKNESS,2010-05-11,TSHD-EN034C,2160
DR04-EN030,DARK REVELATION Volume 4,2007-11-14,DR04-EN030C,2161
CRV-EN030,CYBERNETIC REVOLUTION,2005-08-06,CRV-EN030C,2162
LODT-EN030,LIGHT OF DESTRUCTION,2008-05-13,LODT-EN030C,2163
DR04-EN210,DARK REVELATION Volume 4,2007-11-14,DR04-EN210C,2164
EOJ-EN030,ENEMY OF JUSTICE,2006-05-17,EOJ-EN030C,2165
TSHD-EN035,THE SHINING DARKNESS,2010-05-11,TSHD-EN035R,2166
LODT-EN031,LIGHT OF DESTRUCTION,2008-05-13,LODT-EN031R,2167
LODT-EN032,LIGHT OF DESTRUCTION,2008-05-13,LODT-EN032C,2168
OP10-EN005,OTS TOURNAMENT PACK 10,2019-04-18,OP10-EN005SR,2169
FLOD-EN027,FLAMES OF DESTRUCTION,2018-05-04,FLOD-EN027C,2170
ABYR-EN066,ABYSS RISING,2012-11-09,ABYR-EN066C,2171
SDCK-EN010,STRUCTURE DECK: THE CRIMSON KING,2023-09-22,SDCK-EN010C,2172
YS18-EN019,STARTER DECK CODEBREAKER,2018-07-13,YS18-EN019C,2173
YS17-EN018,STARTER DECK - LINK STRIKE -,2017-07-21,YS17-EN018C,2174
SR01-EN021,EMPEROR OF DARKNESS STRUCTURE DECK,2016-01-29,SR01-EN021C,2175
LC5D-EN061,LEGENDARY COLLECTION 5D's MEGA PACK,2014-10-24,LC5D-EN061SE,2176
BP02-EN086,BATTLE PACK 2 WAR OF THE GIANTS,2013-06-28,BP02-EN086C,2177
BP01-EN211,BATTLE PACK EPIC DAWN,2012-05-28,BP01-EN211C,2178
SDGU-EN022,GATES OF THE UNDERWORLD STRUCTURE DECK,2011-10-18,SDGU-EN022C,2179
CT07-EN009,COLLECTIBLE TIN 2010 WAVE 1,2010-08-31,CT07-EN009SR,2180
ABPF-EN006,ABSOLUTE POWERFORCE,2010-02-16,ABPF-EN006UR,2181
DCR-EN001,DARK CRISIS (LC01 25th Anniversary Edition),2023-04-21,DCR-EN001C,2182
5DS3-EN001,5D's STARTER DECK DUELIST TOOLBOX,2010-06-01,5DS3-EN001C,2183
DR1-EN163,DARK REVELATION Volume 1,2005-03-19,DR1-EN163C,2184
DCR-001,DARK CRISIS,2003-12-01,DCR-001C,2185
DLCS-EN019,DRAGONS OF LEGEND: THE COMPLETE SERIES,2020-09-11,DLCS-EN019C,2186
FUEN-EN056,FUSION ENFORCERS,2017-02-24,FUEN-EN056SR,2187
DRLG-EN017,DRAGONS OF LEGEND,2014-04-25,DRLG-EN017SR,2188
DREV-EN064,DUELIST REVOLUTION,2010-08-17,DREV-EN064C,2189
DP08-EN025,DUELIST PACK - YUSEI -,2009-02-24,DP08-EN025R,2190
CSOC-EN063,CROSSROADS OF CHAOS,2008-11-18,CSOC-EN063SR,2191
BLCR-EN009,BATTLES OF LEGEND: CRYSTAL REVENGE,2022-11-18,BLCR-EN009UR,2192
ANPR-EN075,ANCIENT PROPHECY,2009-09-01,ANPR-EN075C,2193
KC01-EN015,25TH ANNIVERSARY ULTIMATE KAIBA SET,2024-03-01,KC01-EN015UR,2194
SS02-ENA02,SPEED DUEL STARTER DECK: DUELISTS OF TOMORROW,2019-01-25,SS02-ENA02C,2195
